TOA,n
1/1/2022 12:22,1
1/10/2022 10:59,1
1/10/2022 11:49,2
1/10/2022 12:17,1
1/10/2022 13:39,1
1/10/2022 14:18,1
1/10/2022 14:23,1
1/10/2022 15:34,1
1/10/2022 15:53,1
1/10/2022 16:51,1
1/10/2022 16:59,1
1/10/2022 17:00,1
1/10/2022 17:18,1
1/10/2022 7:05,1
1/10/2022 8:46,1
1/10/2022 8:55,1
1/10/2022 8:58,1
1/10/2022 9:01,1
1/10/2022 9:21,1
1/10/2022 9:29,1
1/10/2022 9:46,1
1/11/2022 10:03,1
1/11/2022 10:22,1
1/11/2022 12:36,1
1/11/2022 13:01,1
1/11/2022 13:02,1
1/11/2022 13:20,1
1/11/2022 13:25,1
1/11/2022 14:50,1
1/11/2022 14:51,1
1/11/2022 15:31,1
1/11/2022 15:55,1
1/11/2022 16:16,2
1/11/2022 16:47,2
1/11/2022 16:53,1
1/11/2022 7:18,1
1/11/2022 7:30,1
1/11/2022 8:08,1
1/11/2022 9:02,1
1/11/2022 9:14,1
1/11/2022 9:15,2
1/11/2022 9:23,1
1/12/2022 10:33,1
1/12/2022 10:34,1
1/12/2022 10:43,1
1/12/2022 11:07,1
1/12/2022 11:57,1
1/12/2022 12:16,2
1/12/2022 15:09,1
1/12/2022 15:11,1
1/12/2022 15:12,1
1/12/2022 15:21,2
1/12/2022 15:22,1
1/12/2022 15:38,1
1/12/2022 15:39,1
1/12/2022 15:42,1
1/12/2022 16:54,1
1/12/2022 7:16,3
1/12/2022 7:17,4
1/12/2022 7:18,1
1/12/2022 7:36,2
1/12/2022 9:00,1
1/12/2022 9:01,1
1/12/2022 9:02,2
1/12/2022 9:18,1
1/12/2022 9:27,1
1/12/2022 9:28,1
1/12/2022 9:45,1
1/13/2022 10:03,1
1/13/2022 10:04,3
1/13/2022 10:18,1
1/13/2022 10:19,1
1/13/2022 10:21,1
1/13/2022 11:07,1
1/13/2022 11:16,1
1/13/2022 11:37,1
1/13/2022 12:42,2
1/13/2022 12:46,1
1/13/2022 13:11,3
1/13/2022 13:23,1
1/13/2022 13:35,1
1/13/2022 13:44,1
1/13/2022 13:54,2
1/13/2022 14:00,1
1/13/2022 14:51,1
1/13/2022 15:08,1
1/13/2022 16:28,1
1/13/2022 16:31,1
1/13/2022 17:23,1
1/13/2022 17:25,1
1/13/2022 19:13,1
1/13/2022 6:43,1
1/13/2022 7:07,1
1/13/2022 7:08,1
1/13/2022 7:37,1
1/13/2022 8:20,1
1/13/2022 9:03,1
1/14/2022 10:00,1
1/14/2022 10:04,1
1/14/2022 10:09,1
1/14/2022 10:13,1
1/14/2022 10:38,1
1/14/2022 10:44,1
1/14/2022 11:06,1
1/14/2022 11:07,1
1/14/2022 11:08,1
1/14/2022 11:20,2
1/14/2022 11:21,1
1/14/2022 11:58,1
1/14/2022 12:54,1
1/14/2022 13:37,1
1/14/2022 13:38,2
1/14/2022 13:55,1
1/14/2022 14:25,1
1/14/2022 14:46,1
1/14/2022 14:48,1
1/14/2022 14:58,1
1/14/2022 14:59,1
1/14/2022 15:02,1
1/14/2022 15:04,1
1/14/2022 15:36,1
1/14/2022 6:44,1
1/14/2022 7:24,1
1/14/2022 8:08,1
1/14/2022 8:10,1
1/14/2022 8:25,1
1/14/2022 8:31,1
1/14/2022 8:32,1
1/14/2022 8:35,1
1/14/2022 8:36,2
1/14/2022 8:53,2
1/14/2022 8:58,2
1/14/2022 8:59,3
1/14/2022 9:00,3
1/14/2022 9:01,3
1/14/2022 9:02,2
1/14/2022 9:03,2
1/14/2022 9:04,2
1/14/2022 9:05,3
1/14/2022 9:06,3
1/14/2022 9:07,2
1/14/2022 9:08,2
1/14/2022 9:22,2
1/14/2022 9:32,1
1/14/2022 9:33,1
1/14/2022 9:34,2
1/14/2022 9:36,2
1/14/2022 9:40,1
1/14/2022 9:41,1
1/14/2022 9:45,2
1/14/2022 9:53,1
1/14/2022 9:54,1
1/16/2022 10:37,2
1/16/2022 11:37,2
1/16/2022 11:38,2
1/16/2022 12:04,1
1/17/2022 11:58,1
1/17/2022 8:29,1
1/18/2022 10:16,1
1/18/2022 10:51,1
1/18/2022 11:21,2
1/18/2022 12:27,1
1/18/2022 12:35,1
1/18/2022 12:59,1
1/18/2022 14:38,1
1/18/2022 14:39,2
1/18/2022 14:48,1
1/18/2022 14:53,1
1/18/2022 14:58,1
1/18/2022 14:59,1
1/18/2022 15:52,1
1/18/2022 16:14,1
1/18/2022 17:54,1
1/18/2022 7:39,1
1/18/2022 7:43,1
1/18/2022 9:10,1
1/19/2022 10:00,1
1/19/2022 10:05,1
1/19/2022 12:10,3
1/19/2022 12:11,1
1/19/2022 12:12,2
1/19/2022 12:16,1
1/19/2022 12:18,2
1/19/2022 12:22,1
1/19/2022 12:23,2
1/19/2022 12:24,1
1/19/2022 12:25,2
1/19/2022 12:26,1
1/19/2022 12:28,1
1/19/2022 12:33,1
1/19/2022 12:54,2
1/19/2022 13:01,1
1/19/2022 13:42,2
1/19/2022 13:43,1
1/19/2022 15:53,1
1/19/2022 18:14,1
1/19/2022 7:03,1
1/19/2022 8:46,1
1/19/2022 8:47,2
1/19/2022 8:51,1
1/19/2022 9:24,2
1/2/2022 10:59,1
1/2/2022 14:01,1
1/20/2021 14:46,1
1/20/2021 19:26,1
1/20/2022 10:22,1
1/20/2022 10:49,1
1/20/2022 10:58,1
1/20/2022 10:59,1
1/20/2022 11:05,1
1/20/2022 11:10,1
1/20/2022 11:35,1
1/20/2022 11:36,1
1/20/2022 13:09,1
1/20/2022 13:50,1
1/20/2022 13:59,1
1/20/2022 14:22,1
1/20/2022 14:30,2
1/20/2022 14:44,1
1/20/2022 14:56,1
1/20/2022 15:31,1
1/20/2022 15:55,2
1/20/2022 15:56,1
1/20/2022 7:10,1
1/20/2022 7:12,1
1/20/2022 7:41,2
1/20/2022 9:20,1
1/20/2022 9:21,1
1/20/2022 9:30,1
1/20/2022 9:43,1
1/20/2022 9:49,3
1/20/2022 9:50,1
1/21/2021 10:00,1
1/21/2021 10:03,2
1/21/2021 10:32,1
1/21/2021 11:01,1
1/21/2021 11:41,1
1/21/2021 12:18,1
1/21/2021 12:49,1
1/21/2021 13:00,1
1/21/2021 13:55,1
1/21/2021 13:56,1
1/21/2021 14:27,1
1/21/2021 17:12,1
1/21/2021 17:22,1
1/21/2021 6:28,1
1/21/2021 6:47,1
1/21/2021 8:35,1
1/21/2021 8:47,1
1/21/2021 8:51,1
1/21/2021 9:11,1
1/21/2021 9:35,1
1/21/2021 9:54,1
1/21/2021 9:56,1
1/21/2021 9:58,1
1/21/2022 10:05,1
1/21/2022 10:06,2
1/21/2022 10:30,1
1/21/2022 10:48,2
1/21/2022 10:49,1
1/21/2022 10:53,2
1/21/2022 11:01,2
1/21/2022 11:19,1
1/21/2022 11:20,1
1/21/2022 11:21,1
1/21/2022 11:22,1
1/21/2022 11:23,1
1/21/2022 11:59,1
1/21/2022 13:07,3
1/21/2022 13:16,1
1/21/2022 13:42,1
1/21/2022 13:43,2
1/21/2022 13:45,1
1/21/2022 15:32,1
1/21/2022 16:05,1
1/21/2022 17:34,1
1/21/2022 6:49,1
1/21/2022 6:59,1
1/21/2022 7:00,1
1/21/2022 7:07,1
1/21/2022 7:20,1
1/21/2022 7:59,3
1/21/2022 8:54,1
1/21/2022 8:59,1
1/21/2022 9:22,1
1/21/2022 9:35,1
1/21/2022 9:47,2
1/22/2021 12:00,1
1/22/2021 12:01,1
1/22/2021 13:10,1
1/22/2021 14:56,1
1/22/2021 16:19,1
1/22/2021 7:26,1
1/22/2021 8:25,1
1/22/2021 8:37,1
1/22/2021 8:40,1
1/22/2021 8:41,1
1/22/2021 9:11,1
1/22/2021 9:18,3
1/22/2021 9:19,3
1/22/2021 9:20,2
1/22/2021 9:21,1
1/22/2021 9:25,1
1/22/2021 9:26,2
1/23/2022 11:30,1
1/23/2022 14:25,1
1/24/2021 13:04,1
1/24/2022 11:00,2
1/24/2022 12:54,2
1/24/2022 13:13,1
1/24/2022 13:14,1
1/24/2022 13:20,1
1/24/2022 13:22,1
1/24/2022 13:47,1
1/24/2022 14:13,1
1/24/2022 15:15,1
1/24/2022 15:16,1
1/24/2022 16:02,1
1/24/2022 16:04,2
1/24/2022 16:05,1
1/24/2022 16:06,1
1/24/2022 16:08,1
1/24/2022 16:19,1
1/24/2022 16:24,1
1/24/2022 16:35,1
1/24/2022 16:39,1
1/24/2022 17:31,1
1/24/2022 6:07,1
1/24/2022 7:56,1
1/24/2022 8:28,1
1/24/2022 8:55,1
1/24/2022 9:35,1
1/25/2021 10:27,1
1/25/2021 11:11,2
1/25/2021 11:12,1
1/25/2021 11:15,1
1/25/2021 11:17,1
1/25/2021 11:25,1
1/25/2021 11:26,3
1/25/2021 11:27,1
1/25/2021 11:37,2
1/25/2021 11:44,2
1/25/2021 11:49,1
1/25/2021 12:38,1
1/25/2021 6:44,1
1/25/2021 7:00,2
1/25/2021 7:23,1
1/25/2021 8:29,1
1/25/2021 8:30,1
1/25/2021 8:34,1
1/25/2021 8:41,2
1/25/2021 8:42,2
1/25/2021 9:01,1
1/25/2021 9:06,1
1/25/2021 9:11,1
1/25/2021 9:40,2
1/25/2021 9:41,1
1/25/2021 9:54,1
1/25/2022 10:12,1
1/25/2022 10:13,1
1/25/2022 10:35,1
1/25/2022 10:56,1
1/25/2022 10:57,2
1/25/2022 11:13,1
1/25/2022 11:19,1
1/25/2022 11:20,1
1/25/2022 11:34,1
1/25/2022 12:58,2
1/25/2022 12:59,1
1/25/2022 13:07,1
1/25/2022 13:14,1
1/25/2022 13:48,1
1/25/2022 13:54,1
1/25/2022 14:10,1
1/25/2022 14:12,1
1/25/2022 14:55,1
1/25/2022 15:24,1
1/25/2022 15:51,1
1/25/2022 15:52,1
1/25/2022 16:25,1
1/25/2022 16:35,1
1/25/2022 16:48,1
1/25/2022 6:58,1
1/25/2022 8:22,1
1/25/2022 8:28,1
1/25/2022 9:11,1
1/25/2022 9:12,1
1/25/2022 9:49,1
1/25/2022 9:52,1
1/26/2021 10:13,1
1/26/2021 11:04,1
1/26/2021 11:05,2
1/26/2021 11:06,1
1/26/2021 11:38,2
1/26/2021 12:03,1
1/26/2021 12:10,1
1/26/2021 13:27,1
1/26/2021 14:18,1
1/26/2021 15:52,1
1/26/2021 15:57,2
1/26/2021 19:58,1
1/26/2021 8:06,1
1/26/2021 8:24,1
1/26/2021 9:01,1
1/26/2021 9:02,1
1/26/2021 9:03,1
1/26/2021 9:21,1
1/26/2021 9:25,1
1/26/2021 9:57,3
1/26/2021 9:58,3
1/26/2021 9:59,3
1/26/2022 10:06,1
1/26/2022 10:16,1
1/26/2022 11:00,2
1/26/2022 11:01,2
1/26/2022 11:18,2
1/26/2022 11:31,1
1/26/2022 11:39,1
1/26/2022 11:40,1
1/26/2022 11:42,1
1/26/2022 11:43,2
1/26/2022 11:44,2
1/26/2022 11:51,1
1/26/2022 11:52,2
1/26/2022 11:53,2
1/26/2022 11:54,1
1/26/2022 11:59,1
1/26/2022 12:02,1
1/26/2022 12:03,1
1/26/2022 12:07,1
1/26/2022 12:14,2
1/26/2022 12:16,1
1/26/2022 12:32,1
1/26/2022 12:49,1
1/26/2022 13:05,1
1/26/2022 13:06,1
1/26/2022 13:14,2
1/26/2022 13:15,1
1/26/2022 13:35,1
1/26/2022 13:39,1
1/26/2022 13:41,1
1/26/2022 14:06,1
1/26/2022 14:50,1
1/26/2022 15:01,1
1/26/2022 15:02,2
1/26/2022 15:31,1
1/26/2022 16:14,1
1/26/2022 16:31,1
1/26/2022 7:27,1
1/26/2022 7:50,1
1/26/2022 8:26,1
1/26/2022 8:35,1
1/26/2022 8:46,5
1/26/2022 8:47,1
1/26/2022 9:01,1
1/26/2022 9:20,1
1/27/2021 10:02,2
1/27/2021 11:02,2
1/27/2021 11:22,1
1/27/2021 12:48,1
1/27/2021 14:09,1
1/27/2021 8:12,1
1/27/2021 8:16,2
1/27/2021 8:32,2
1/27/2021 8:40,2
1/27/2021 8:54,1
1/27/2021 9:06,1
1/27/2021 9:27,1
1/27/2021 9:47,1
1/27/2022 10:01,1
1/27/2022 10:11,1
1/27/2022 10:40,1
1/27/2022 10:43,2
1/27/2022 11:00,1
1/27/2022 11:29,1
1/27/2022 11:31,1
1/27/2022 11:32,1
1/27/2022 11:50,1
1/27/2022 11:54,1
1/27/2022 11:55,2
1/27/2022 12:04,1
1/27/2022 12:08,1
1/27/2022 12:09,2
1/27/2022 12:39,1
1/27/2022 12:45,1
1/27/2022 12:48,1
1/27/2022 12:50,1
1/27/2022 12:51,1
1/27/2022 12:58,1
1/27/2022 13:01,1
1/27/2022 13:11,1
1/27/2022 13:31,1
1/27/2022 13:36,1
1/27/2022 13:41,2
1/27/2022 13:44,1
1/27/2022 13:50,2
1/27/2022 14:10,2
1/27/2022 14:11,3
1/27/2022 14:44,1
1/27/2022 14:48,1
1/27/2022 14:49,1
1/27/2022 15:17,1
1/27/2022 15:18,2
1/27/2022 15:19,1
1/27/2022 15:29,1
1/27/2022 15:35,2
1/27/2022 15:41,1
1/27/2022 15:56,1
1/27/2022 15:57,2
1/27/2022 16:18,1
1/27/2022 16:47,1
1/27/2022 17:18,2
1/27/2022 17:27,1
1/27/2022 17:38,1
1/27/2022 18:33,2
1/27/2022 18:36,1
1/27/2022 18:38,1
1/27/2022 18:46,1
1/27/2022 18:50,1
1/27/2022 19:03,1
1/27/2022 19:04,1
1/27/2022 19:05,2
1/27/2022 19:06,2
1/27/2022 19:12,1
1/27/2022 6:03,1
1/27/2022 6:55,1
1/27/2022 6:56,1
1/27/2022 6:57,1
1/27/2022 7:26,1
1/27/2022 7:45,1
1/27/2022 8:11,1
1/27/2022 8:12,1
1/27/2022 8:13,2
1/27/2022 8:15,2
1/27/2022 8:16,1
1/27/2022 8:17,1
1/27/2022 8:18,2
1/27/2022 8:31,2
1/27/2022 8:32,1
1/27/2022 8:39,1
1/27/2022 8:40,2
1/27/2022 8:41,2
1/27/2022 8:54,1
1/27/2022 9:00,1
1/27/2022 9:02,1
1/27/2022 9:16,1
1/27/2022 9:22,1
1/27/2022 9:29,1
1/27/2022 9:32,1
1/27/2022 9:36,1
1/27/2022 9:37,3
1/27/2022 9:41,1
1/27/2022 9:45,1
1/28/2021 10:10,2
1/28/2021 10:11,2
1/28/2021 10:21,1
1/28/2021 12:55,1
1/28/2021 13:05,2
1/28/2021 14:00,1
1/28/2021 14:33,1
1/28/2021 14:41,1
1/28/2021 14:50,1
1/28/2021 16:23,1
1/28/2021 17:10,1
1/28/2021 8:00,1
1/28/2021 8:01,1
1/28/2021 8:46,1
1/28/2021 8:49,1
1/28/2021 8:53,1
1/28/2021 8:59,1
1/28/2021 9:42,1
1/28/2022 10:31,1
1/28/2022 10:54,1
1/28/2022 10:55,1
1/28/2022 11:15,1
1/28/2022 11:42,2
1/28/2022 11:54,1
1/28/2022 12:44,1
1/28/2022 12:48,1
1/28/2022 12:49,2
1/28/2022 12:50,2
1/28/2022 13:05,1
1/28/2022 14:03,1
1/28/2022 14:23,1
1/28/2022 14:24,1
1/28/2022 15:29,1
1/28/2022 15:34,1
1/28/2022 15:51,2
1/28/2022 15:53,2
1/28/2022 16:41,1
1/28/2022 7:43,1
1/28/2022 7:44,1
1/28/2022 8:02,1
1/28/2022 8:04,1
1/28/2022 8:05,1
1/28/2022 8:06,1
1/28/2022 8:10,1
1/28/2022 8:16,1
1/28/2022 8:33,1
1/28/2022 8:45,1
1/28/2022 9:01,1
1/28/2022 9:03,1
1/28/2022 9:07,1
1/28/2022 9:10,1
1/28/2022 9:18,2
1/28/2022 9:26,2
1/28/2022 9:27,1
1/28/2022 9:28,1
1/28/2022 9:33,1
1/28/2022 9:36,1
1/28/2022 9:37,1
1/28/2022 9:38,1
1/28/2022 9:44,2
1/28/2022 9:45,1
1/28/2022 9:46,1
1/29/2021 10:08,1
1/29/2021 10:16,1
1/29/2021 10:25,1
1/29/2021 10:54,1
1/29/2021 10:55,1
1/29/2021 11:25,1
1/29/2021 12:26,1
1/29/2021 12:52,1
1/29/2021 13:55,1
1/29/2021 7:20,1
1/29/2021 8:06,1
1/29/2021 8:25,1
1/29/2021 8:26,1
1/29/2021 8:36,1
1/29/2021 8:47,1
1/29/2021 8:59,1
1/29/2021 9:03,1
1/29/2021 9:13,1
1/29/2021 9:17,1
1/29/2021 9:30,1
1/29/2021 9:49,1
1/29/2022 10:48,1
1/29/2022 13:42,3
1/29/2022 13:43,4
1/29/2022 13:44,4
1/29/2022 13:45,4
1/29/2022 13:46,5
1/29/2022 13:47,2
1/29/2022 13:48,2
1/29/2022 9:10,1
1/3/2022 12:48,1
1/3/2022 12:52,1
1/30/2021 9:23,1
1/30/2021 9:35,1
1/30/2021 9:37,3
1/30/2022 10:46,1
1/31/2021 13:43,1
1/31/2021 14:51,1
1/4/2022 10:40,1
1/4/2022 11:11,2
1/4/2022 13:33,1
1/4/2022 15:36,1
1/4/2022 16:09,1
1/4/2022 9:40,1
1/5/2022 10:24,1
1/5/2022 11:01,1
1/5/2022 11:06,1
1/5/2022 12:09,1
1/5/2022 13:14,1
1/5/2022 13:56,1
1/5/2022 13:57,3
1/5/2022 13:58,2
1/5/2022 14:03,2
1/5/2022 14:08,1
1/5/2022 16:21,2
1/6/2022 10:51,1
1/6/2022 10:52,2
1/6/2022 10:56,1
1/6/2022 10:58,1
1/6/2022 12:42,1
1/6/2022 13:29,1
1/6/2022 13:59,2
1/6/2022 14:15,1
1/6/2022 15:24,1
1/6/2022 15:25,2
1/6/2022 15:51,4
1/6/2022 15:58,2
1/6/2022 15:59,1
1/6/2022 16:00,3
1/6/2022 16:04,1
1/6/2022 16:05,1
1/6/2022 16:16,2
1/6/2022 8:50,1
1/6/2022 8:51,2
1/6/2022 8:59,1
1/6/2022 9:07,1
1/6/2022 9:24,2
1/6/2022 9:40,3
1/6/2022 9:49,1
1/7/2022 11:12,2
1/7/2022 11:13,2
1/7/2022 11:14,1
1/7/2022 12:15,1
1/7/2022 12:40,1
1/7/2022 13:44,1
1/7/2022 14:42,2
10/1/2021 10:03,3
10/1/2021 10:22,2
10/1/2021 10:30,1
10/1/2021 10:47,1
10/1/2021 10:58,1
10/1/2021 11:22,1
10/1/2021 11:23,1
10/1/2021 11:52,1
10/1/2021 12:06,1
10/1/2021 13:02,1
10/1/2021 13:34,2
10/1/2021 13:35,1
10/1/2021 13:44,1
10/1/2021 13:45,1
10/1/2021 13:49,1
10/1/2021 13:53,1
10/1/2021 14:06,1
10/1/2021 14:14,3
10/1/2021 14:15,1
10/1/2021 14:25,1
10/1/2021 14:44,1
10/1/2021 14:56,3
10/1/2021 15:09,2
10/1/2021 15:10,3
10/1/2021 15:13,1
10/1/2021 15:27,1
10/1/2021 15:55,2
10/1/2021 15:56,1
10/1/2021 15:57,3
10/1/2021 15:58,1
10/1/2021 16:08,2
10/1/2021 16:09,1
10/1/2021 16:18,1
10/1/2021 17:24,1
10/1/2021 17:26,2
10/1/2021 17:27,1
10/1/2021 17:33,1
10/1/2021 17:34,1
10/1/2021 6:26,1
10/1/2021 6:37,1
10/1/2021 7:00,1
10/1/2021 7:01,1
10/1/2021 7:02,2
10/1/2021 7:37,1
10/1/2021 8:10,1
10/1/2021 8:18,1
10/1/2021 8:19,1
10/1/2021 8:20,2
10/1/2021 8:21,1
10/1/2021 8:30,1
10/1/2021 8:48,1
10/1/2021 8:56,1
10/1/2021 9:01,1
10/1/2021 9:16,2
10/1/2021 9:19,1
10/1/2021 9:31,1
10/11/2021 13:39,3
10/11/2021 13:40,2
10/11/2022 13:21,1
10/11/2022 14:03,8
10/11/2022 6:34,1
10/11/2022 8:46,1
10/12/2021 10:05,1
10/12/2021 10:08,1
10/12/2021 10:09,1
10/12/2021 10:18,1
10/12/2021 10:31,1
10/12/2021 10:35,1
10/12/2021 10:38,2
10/12/2021 10:42,1
10/12/2021 10:43,2
10/12/2021 10:45,1
10/12/2021 10:47,1
10/12/2021 10:53,1
10/12/2021 10:58,1
10/12/2021 10:59,1
10/12/2021 11:13,1
10/12/2021 11:15,2
10/12/2021 11:16,2
10/12/2021 11:17,1
10/12/2021 11:25,1
10/12/2021 11:55,1
10/12/2021 11:57,1
10/12/2021 11:58,1
10/12/2021 12:18,2
10/12/2021 12:19,3
10/12/2021 12:20,1
10/12/2021 12:35,1
10/12/2021 13:07,1
10/12/2021 13:53,1
10/12/2021 14:08,1
10/12/2021 14:28,1
10/12/2021 14:29,1
10/12/2021 14:35,1
10/12/2021 14:39,2
10/12/2021 14:40,1
10/12/2021 14:47,1
10/12/2021 15:06,1
10/12/2021 15:26,1
10/12/2021 15:27,2
10/12/2021 15:28,3
10/12/2021 15:29,2
10/12/2021 15:36,1
10/12/2021 15:38,2
10/12/2021 17:04,1
10/12/2021 18:05,1
10/12/2021 7:08,2
10/12/2021 7:09,1
10/12/2021 7:50,1
10/12/2021 7:58,1
10/12/2021 8:48,1
10/12/2021 8:49,1
10/12/2021 8:50,3
10/12/2021 9:01,1
10/12/2021 9:03,1
10/12/2021 9:04,1
10/12/2021 9:13,1
10/12/2021 9:14,1
10/12/2021 9:35,1
10/12/2021 9:40,1
10/12/2021 9:42,1
10/12/2021 9:56,1
10/12/2022 14:44,3
10/13/2021 10:05,1
10/13/2021 10:13,1
10/13/2021 10:15,1
10/13/2021 10:18,1
10/13/2021 10:37,1
10/13/2021 10:40,1
10/13/2021 10:44,4
10/13/2021 10:45,1
10/13/2021 10:49,1
10/13/2021 10:51,3
10/13/2021 10:52,1
10/13/2021 11:05,1
10/13/2021 11:06,1
10/13/2021 11:11,1
10/13/2021 11:12,1
10/13/2021 11:53,1
10/13/2021 11:54,2
10/13/2021 11:55,2
10/13/2021 12:01,3
10/13/2021 12:02,2
10/13/2021 12:25,3
10/13/2021 12:26,2
