APPT_CANCEL_DATE,n
2021-02-04 15:51:00,1
2021-02-25 14:11:00,3
2021-03-10 11:11:00,1
2021-03-10 11:12:00,2
2021-04-22 08:26:00,1
2021-04-23 14:20:00,1
2021-05-06 17:15:00,1
2021-05-06 17:16:00,1
2021-05-06 17:18:00,1
2021-06-30 14:57:00,19
2021-07-01 19:25:00,2
2021-07-15 18:18:00,5
2021-07-16 17:46:00,5
2021-07-19 11:24:00,1
2021-07-19 11:27:00,1
2021-07-19 17:02:00,3
2021-07-19 18:07:00,1
2021-07-19 19:22:00,1
2021-07-20 08:45:00,1
2021-07-20 08:47:00,1
2021-07-20 08:48:00,1
2021-07-20 08:49:00,1
2021-07-20 08:50:00,1
2021-07-20 08:53:00,1
2021-07-22 07:23:00,2
2021-07-29 12:57:00,3
2021-07-30 13:51:00,1
2021-08-12 12:41:00,1
2021-08-25 10:24:00,1
2021-08-25 10:26:00,1
2021-09-08 09:25:00,3
2021-09-15 11:04:00,1
2021-09-27 15:36:00,3
2021-10-05 12:17:00,6
2021-10-12 16:33:00,2
2021-10-18 11:56:00,2
2021-10-20 09:45:00,2
2021-10-22 09:59:00,2
2021-11-07 12:11:00,56
2021-11-08 13:34:00,1
2021-11-17 16:39:00,4
2021-12-01 19:03:00,3
2021-12-13 14:47:00,8
2021-12-15 12:13:00,3
2021-12-18 09:48:00,150
2021-12-18 09:49:00,2
2022-01-06 11:13:00,3
2022-01-14 12:11:00,7
2022-01-14 12:12:00,21
2022-03-03 09:35:00,1
2022-03-16 08:05:00,1
2022-03-16 08:08:00,3
2022-03-16 08:09:00,8
2022-03-16 08:10:00,9
2022-03-16 08:11:00,2
2022-03-17 14:07:00,3
2022-03-23 16:58:00,4
2022-03-28 12:28:00,12
2022-04-18 16:42:00,7
2022-04-21 14:20:00,4
2022-04-25 18:41:00,1
2022-05-03 14:04:00,1
2022-05-04 10:07:00,1
2022-05-09 16:45:00,1
2022-05-13 13:48:00,4
2022-05-17 09:40:00,3
2022-05-19 16:03:00,25
2022-06-14 15:25:00,4
2022-07-13 09:01:00,28
2022-07-21 11:42:00,2
2022-07-30 14:22:00,2
2022-09-01 11:11:00,3
2022-09-01 11:12:00,3
2022-09-02 10:11:00,15
2022-09-15 19:03:00,1
2022-09-19 11:24:00,3
2022-10-05 07:44:00,2
2022-10-11 13:02:00,4
NA,248646
