Terminal Suffix,n
AB,669
AC,558
AD,794
AE,19
AF,369
AG,1623
AH,253
AI,18
AK,1
AL,75
AM,578
AN,614
AP,639
AR,238
AS,585
AT,1182
AV,765
AW,503
BA,42
BB,157
BC,32
BE,3
BF,29
BH,2
BL,6
BM,94
BN,147
BP,147
BR,87
BS,150
BT,3
BW,3
BZ,26
C,78
CB,625
CC,137
CD,6
CE,41
CF,91
CG,90
CH,76
CJ,5528
ck,21
CK,957
CL,84
CM,1147
CN,98
CP,168
CR,71
CS,500
CT,15
CU,234
CV,5
DA,378
DB,159
DC,1047
DD,6
DE,569
DF,83
DG,153
DH,83
DJ,126
DL,94
DM,717
DN,1951
DO,16
DP,8
DR,163
DS,176
DT,13
DV,4321
DW,94
DY,1
DZ,112
EB,298
EC,1
EE,93
EF,8
EH,144
EK,1978
EL,31
EM,6
EP,33
ER,1
ES,44
ET,3225
EW,314
FA,182
FB,43
FL,34
FM,13
FS,47
GA,18
GB,363
GC,61
GD,1649
GH,89
GJ,175
GK,170
GL,71
GM,2746
GR,8
GS,479
GT,1092
GW,71
HA,1
HB,651
HC,406
HD,31
HG,5
HJ,120
HO,132
HQ,362
HR,33
HT,20
HY,2
IC,8
IF,42
IJ,121
IK,3
IM,11
IS,15
JA,180
JB,240
JC,758
JD,463
JF,185
JG,350
JH,265
JJ,75
JK,153
JL,17760
JM,1124
JN,5
JO,169
JP,1776
JQ,72
JR,117
JS,461
JT,36
JV,4644
JW,162
JY,8
KA,28
KB,2807
KC,1874
KD,55
KE,3
KF,24
KG,290
KH,63
KJ,28
KK,163
KL,620
KM,878
KN,2
KO,6
KP,132
KR,740
KS,1127
KW,61
LA,349
LC,113
LD,3
LF,40
LG,277
LH,144
LJ,508
LL,9
LM,17
LP,421
LR,206
LS,83
LT,13
LV,149
LW,207
M,399
M.,2
MA,459
MB,1237
MC,106
MD,885
MF,143
MG,960
MH,285
MJ,528
MK,13
ML,420
MM,975
MN,13
MO,76
MP,161
MS,890
MT,684
MU,91
MV,48
MW,184
NB,5427
NC,83
ND,11
NF,710
NG,352
NH,185
NL,419
NM,1739
NN,35
NP,1611
NR,142
NS,1629
NU,55
NW,37
NZ,19
OB,48
OJ,125
OM,133
OO,387
PD,513
PG,46
PK,1208
PL,205
PM,1
PO,43
PR,42
PS,13813
PV,73
PW,56
QS,195
RA,98
RB,28
RC,87
RD,451
RF,249
RH,815
RK,43
RL,341
RM,18
RO,1
RP,468
RR,24
RS,1530
RT,9
RV,60
RW,50
SA,161
SB,262
SC,393
SD,1443
SE,431
SF,23
SG,159
SH,1148
SJ,2
SK,1
SL,77
SM,187
SN,60
SP,506
SQ,258
SR,1401
SS,361
ST,5
SW,81
SY,13
SZ,390
T,11
TB,6
TC,82
TD,5
TG,38
TH,2
TI,1114
TJ,608
TM,270
TR,8
TS,31
TT,21
TW,15502
UV,1
VA,19
VG,43
VJ,739
VK,140
VR,52
VS,8
VT,205
VW,92484
WA,24
WD,725
WG,29
WH,91
WK,44
WL,7
WM,368
WS,121
WT,54
WW,26
YB,86
YM,20
ZH,43
ZL,5
NA,34
