Meeting Room,n
#69,1
012 095,2
015 018,1
026/445,5
026B 053 095,1
027 - Didl,1
065 045 337 339,14
089/018,2
08b,5
08B,21
1,1474
1-A,1
10,5
100,26
100 RES,1
1000,1
10001,10
10002,6
10003,1
10008,2
10010,2
10011,2
10012,16
10015,1
10017,6
10019,1
10020,11
10021,1
10022,10
10024,1
10028,2
10029,41
10031,19
10033,99
10043,7
10044,2
10045,1
10046,2
10047,6
10052,4
10054,5
10056,1
100A,1
101,19
102,7
1020,1
10201,3
10202,18
10207,1
10209,2
10216,1
10220,1
10230,2
10236,6
10239,1
10256,8
10258,120
103,1
104,13
104A,9
105,8
106,15
107,96
1078,1
108,94
108A,14
108B,19
109,23
10th Floor,14
10th Floor Secure Wi,2
110,32
110-115,9
111,3
112,82
112A,9
114,43
115,111
115A,13
115B,9
116,99
118,3
118c,1
118C,3
12,10
120,42
120 and Ma,2
121,6
122,240
123,13
124,49
124 VPs Office,3
125,9
125B,1
126,130
127,7
128b,1
13,11
130,28
130A,1
132,33
132 A,9
132 WW,2
132A,2
134,88
135,23
135b,3
135B,2
136,5
137,2
137B,5
138,43
139,2
13A,3
14,53
140,40
140 / Pres,2
141,5
142,19
142B,2
143,18
143A,5
143B,2
143C,13
144,95
144A,4
145,25
146,15
147,4
148,5
149,5
15,10
1500,1
151,10
152,24
153,7
156,1
157,15
158,15
159,193
159/160,1
16,14
160,687
161,132
161.5,8
162,3
162A,9
162B,1
163,29
164,53
165,3
167,50
168,12
169,1
17,17
170,112
171,8
172,103
173,6
174,2
175,1
176,20
176A,1
177,6
177A,2
178,692
179,1
17th & Pen,2
17th/Penn,2
18,201
180,142
180-A,5
180 A,29
180a,2
180A,656
181,24
182,3
183,75
184,3
185,31
187,4
188,34
188A,11
189,1
18A,5
18WW,2
19,44
19-Jan,1
190,22
191,1
191B,3
192,20
193,5
194,40
195,4
196,4
197,18
198,67
199,60
1B29,5
1st floor,1
1st Floor,9
1st floor VPR,1
1st Floor WW - NSA S,4
1st floor/,2
1st Floor/Basement,2
1st floor/Pool Deck,1
1st Floor/Pool deck,1
2,18
20,14
200,239
2008,2
201,1
202,21
2020,28
2020 neob,2
202a,58
202A,10
202b,8
204,20
204a,3
205,80
206,152
207,8
208,123
208 East Wing,4
208 EW,8
209,9
21,62
210,1101
210-212,18
210/212,515
210/212 Di,23
211,3
212,668
212 Diplomatic Recep,10
212/210,4
2120,9
213,3
214,3
215,80
216,32
217,78
218,16
219,3
219 WW,2
22,3
220,15
2200,2
2200B,1
220A,15
221 WW,1
2210,2
2211B,6
222,1
223,14
224,1
225,11
226,914
226A,2
228,986
229,11
230,206
230  B,4
230 A,21
230 AW,14
230 B,43
2303,2
230a,94
230A,2109
230b,24
230B,914
230B and SMS,1
233,44
234,433
235,15
235b,3
235B,4
236,788
236 and SMS,1
236B,3
236W,6
237,9
238,123
239,24
240,26
242,39
243,28
243 b,1
243 B,17
243D,2
245,1
246,40
248,223
249,2
25,268
25 Airlift,1
250,33
251,7
252,212
252-B,1
252 b,10
2520,1
252b,68
252B,82
253,22
254,2
255,2
256,8
257,1
258,36
26,3
260,225
261,20
262,32
263,17
264,99
265,59
267,34
268,6
269,1
269A,1
27,43
270,19
271,12
272,16
273,134
274,255
276,457
278,4
279,80
279A,7
280,53
281,3
282,37
284,61
285,1
286,36
287,5
288,23
289,1
290,7
291,187
292,9
2nd floor,2
2nd Floor,11
3,1
3-001,1
300,22
3001,51
3002,132
3002 ESC Conference,6
3002A,1
3002B,18
3007,12
301,1
3012,1
3015,154
3015 & 320,9
3015 & 4220,2
3015 5001,1
3019,19
302,7
3020,107
3021,16
3025,183
3026,6
302a,1
302A,16
305,5
305/307,2
306,1
307,96
308,11
309,2
310,2
3102,4
3104,7
3109,14
311,195
3113 4226,1
312,358
