APPT_START_DATE,n
2021-01-20 12:00:00,19
2021-01-20 13:00:00,34
2021-01-20 14:30:00,1
2021-01-20 20:00:00,10
2021-01-21 07:00:00,2
2021-01-21 08:00:00,4
2021-01-21 08:30:00,1
2021-01-21 09:00:00,4
2021-01-21 09:30:00,11
2021-01-21 10:00:00,2
2021-01-21 10:30:00,26
2021-01-21 10:45:00,10
2021-01-21 11:00:00,1
2021-01-21 12:00:00,1
2021-01-21 12:30:00,1
2021-01-21 13:00:00,2
2021-01-21 14:00:00,2
2021-01-21 14:30:00,2
2021-01-21 17:45:00,2
2021-01-21 21:00:00,1
2021-01-21 23:30:00,2
2021-01-22 06:30:00,2
2021-01-22 07:30:00,3
2021-01-22 08:00:00,2
2021-01-22 09:00:00,18
2021-01-22 09:30:00,1
2021-01-22 13:00:00,3
2021-01-22 13:15:00,2
2021-01-22 14:00:00,1
2021-01-22 15:00:00,1
2021-01-22 16:00:00,2
2021-01-24 10:00:00,1
2021-01-24 12:00:00,1
2021-01-24 14:00:00,1
2021-01-25 07:00:00,5
2021-01-25 07:30:00,2
2021-01-25 08:30:00,5
2021-01-25 08:45:00,1
2021-01-25 09:00:00,12
2021-01-25 10:00:00,5
2021-01-25 11:00:00,11
2021-01-25 11:30:00,5
2021-01-25 12:00:00,9
2021-01-25 12:30:00,1
2021-01-25 13:00:00,2
2021-01-26 08:00:00,2
2021-01-26 09:00:00,3
2021-01-26 09:30:00,4
2021-01-26 10:00:00,13
2021-01-26 11:00:00,6
2021-01-26 12:00:00,7
2021-01-26 12:10:00,1
2021-01-26 13:30:00,1
2021-01-26 14:30:00,1
2021-01-26 15:00:00,2
2021-01-26 16:00:00,2
2021-01-26 20:00:00,1
2021-01-27 08:00:00,2
2021-01-27 08:30:00,2
2021-01-27 09:00:00,6
2021-01-27 09:30:00,2
2021-01-27 10:00:00,5
2021-01-27 10:45:00,1
2021-01-27 11:00:00,5
2021-01-27 12:00:00,1
2021-01-27 12:30:00,2
2021-01-27 13:00:00,1
2021-01-27 15:00:00,1
2021-01-28 08:00:00,3
2021-01-28 08:30:00,2
2021-01-28 09:00:00,5
2021-01-28 09:30:00,10
2021-01-28 10:30:00,25
2021-01-28 11:00:00,1
2021-01-28 13:00:00,4
2021-01-28 14:30:00,1
2021-01-28 15:00:00,4
2021-01-28 16:21:00,1
2021-01-28 17:15:00,1
2021-01-29 07:00:00,2
2021-01-29 08:00:00,1
2021-01-29 08:30:00,3
2021-01-29 09:00:00,4
2021-01-29 09:30:00,5
2021-01-29 10:00:00,3
2021-01-29 11:30:00,2
2021-01-29 12:00:00,1
2021-01-29 12:30:00,1
2021-01-29 13:00:00,2
2021-01-29 13:30:00,1
2021-01-29 14:00:00,2
2021-01-29 15:00:00,1
2021-01-29 15:30:00,1
2021-01-29 16:00:00,2
2021-01-30 09:00:00,1
2021-01-30 10:30:00,4
2021-01-31 14:00:00,1
2021-01-31 15:00:00,1
2021-02-01 06:30:00,1
2021-02-01 09:00:00,7
2021-02-01 10:00:00,7
2021-02-01 10:30:00,1
2021-02-01 10:45:00,1
2021-02-01 11:00:00,2
2021-02-01 11:15:00,1
2021-02-01 11:30:00,1
2021-02-01 12:00:00,2
2021-02-01 12:30:00,1
2021-02-01 13:00:00,2
2021-02-01 16:00:00,19
2021-02-01 18:10:00,2
2021-02-02 08:00:00,3
2021-02-02 09:00:00,8
2021-02-02 09:30:00,6
2021-02-02 09:45:00,2
2021-02-02 10:00:00,2
2021-02-02 11:00:00,3
2021-02-02 11:30:00,1
2021-02-02 12:00:00,1
2021-02-02 13:30:00,2
2021-02-02 14:00:00,2
2021-02-02 14:15:00,4
2021-02-02 17:00:00,4
2021-02-02 17:30:00,5
2021-02-02 21:00:00,2
2021-02-03 06:30:00,1
2021-02-03 08:00:00,6
2021-02-03 08:30:00,4
2021-02-03 09:00:00,9
2021-02-03 09:30:00,3
2021-02-03 10:00:00,8
2021-02-03 10:30:00,5
2021-02-03 11:00:00,3
2021-02-03 11:15:00,21
2021-02-03 11:30:00,1
2021-02-03 12:00:00,4
2021-02-03 12:20:00,1
2021-02-03 12:30:00,1
2021-02-03 13:00:00,4
2021-02-03 13:30:00,1
2021-02-03 14:00:00,3
2021-02-03 14:30:00,1
2021-02-03 15:00:00,2
2021-02-03 16:00:00,1
2021-02-04 00:00:00,1
2021-02-04 06:30:00,1
2021-02-04 08:00:00,11
2021-02-04 09:00:00,19
2021-02-04 09:30:00,9
2021-02-04 10:00:00,5
2021-02-04 11:00:00,3
2021-02-04 11:30:00,2
2021-02-04 12:00:00,6
2021-02-04 12:30:00,2
2021-02-04 13:00:00,3
2021-02-04 13:30:00,1
2021-02-04 14:00:00,5
2021-02-04 15:00:00,7
2021-02-05 06:00:00,1
2021-02-05 08:00:00,9
2021-02-05 08:30:00,2
2021-02-05 08:40:00,20
2021-02-05 09:10:00,5
2021-02-05 09:15:00,1
2021-02-05 09:30:00,14
2021-02-05 10:00:00,9
2021-02-05 10:30:00,4
2021-02-05 11:00:00,6
2021-02-05 12:00:00,2
2021-02-05 13:00:00,3
2021-02-05 14:00:00,5
2021-02-05 15:00:00,1
2021-02-05 15:30:00,2
2021-02-06 12:00:00,1
2021-02-06 13:00:00,1
2021-02-06 15:00:00,2
2021-02-07 15:00:00,1
2021-02-08 06:00:00,2
2021-02-08 08:00:00,1
2021-02-08 08:30:00,2
2021-02-08 09:00:00,2
2021-02-08 09:30:00,1
2021-02-08 10:00:00,8
2021-02-08 11:00:00,2
2021-02-08 12:30:00,4
2021-02-08 14:00:00,1
2021-02-08 14:15:00,1
2021-02-09 08:00:00,1
2021-02-09 08:30:00,2
2021-02-09 09:00:00,10
2021-02-09 09:30:00,2
2021-02-09 09:45:00,1
2021-02-09 10:00:00,2
2021-02-09 11:30:00,9
2021-02-09 12:00:00,18
2021-02-09 12:10:00,1
2021-02-09 12:30:00,1
2021-02-09 13:00:00,6
2021-02-09 13:30:00,1
2021-02-09 14:00:00,28
2021-02-09 14:30:00,1
2021-02-09 23:00:00,2
2021-02-10 08:30:00,1
2021-02-10 09:30:00,1
2021-02-10 10:00:00,1
2021-02-10 10:30:00,1
2021-02-10 11:00:00,3
2021-02-10 12:00:00,1
2021-02-10 13:30:00,2
2021-02-10 14:30:00,1
2021-02-10 15:00:00,2
2021-02-10 16:00:00,1
2021-02-11 08:00:00,8
2021-02-11 09:00:00,1
2021-02-11 10:00:00,17
2021-02-11 10:30:00,25
2021-02-11 11:00:00,1
2021-02-11 12:00:00,3
2021-02-11 13:00:00,5
2021-02-11 13:30:00,1
2021-02-11 14:00:00,8
2021-02-11 14:30:00,5
2021-02-11 15:30:00,1
2021-02-11 16:00:00,1
2021-02-11 16:30:00,2
2021-02-12 08:00:00,3
2021-02-12 09:30:00,2
2021-02-12 10:00:00,41
2021-02-12 11:00:00,1
2021-02-12 11:30:00,2
2021-02-12 12:00:00,5
2021-02-12 12:30:00,2
2021-02-12 13:00:00,3
2021-02-12 14:00:00,2
2021-02-12 14:15:00,3
2021-02-12 14:30:00,1
2021-02-12 15:00:00,2
2021-02-12 17:00:00,1
2021-02-13 11:00:00,2
2021-02-13 11:30:00,1
2021-02-14 14:30:00,1
2021-02-15 00:00:00,3
2021-02-15 09:30:00,1
2021-02-15 13:30:00,1
2021-02-15 14:00:00,1
2021-02-16 07:30:00,7
2021-02-16 08:00:00,1
2021-02-16 08:30:00,2
2021-02-16 09:00:00,3
2021-02-16 09:30:00,1
2021-02-16 10:00:00,1
2021-02-16 11:00:00,3
2021-02-16 12:00:00,1
2021-02-16 12:30:00,1
2021-02-16 13:00:00,2
2021-02-16 13:30:00,1
2021-02-16 14:00:00,2
2021-02-16 15:00:00,1
2021-02-16 16:00:00,1
2021-02-17 07:00:00,8
2021-02-17 08:00:00,5
2021-02-17 09:00:00,1
2021-02-17 10:00:00,2
2021-02-17 11:00:00,1
2021-02-17 12:00:00,3
2021-02-17 13:00:00,11
2021-02-17 13:30:00,2
2021-02-17 15:30:00,4
2021-02-17 16:00:00,2
2021-02-18 08:00:00,2
2021-02-18 09:00:00,2
2021-02-18 10:00:00,2
2021-02-18 12:00:00,1
2021-02-18 13:00:00,1
2021-02-18 13:30:00,1
2021-02-18 14:00:00,1
2021-02-18 15:30:00,1
2021-02-19 08:00:00,3
2021-02-19 09:00:00,8
2021-02-19 10:00:00,11
2021-02-19 10:30:00,1
2021-02-19 11:00:00,24
2021-02-19 11:30:00,1
2021-02-19 12:00:00,6
2021-02-19 12:07:00,1
2021-02-19 12:08:00,1
2021-02-19 12:15:00,1
2021-02-19 12:16:00,1
2021-02-19 12:17:00,1
2021-02-19 12:18:00,1
2021-02-19 12:20:00,1
2021-02-19 13:00:00,1
2021-02-19 14:00:00,5
2021-02-19 15:30:00,2
2021-02-19 16:00:00,2
2021-02-19 17:15:00,1
2021-02-19 21:30:00,1
2021-02-20 09:00:00,22
2021-02-20 09:28:00,1
2021-02-20 11:00:00,4
2021-02-20 11:30:00,1
2021-02-20 12:00:00,1
2021-02-20 12:20:00,1
2021-02-20 12:30:00,1
2021-02-20 12:35:00,1
2021-02-20 14:00:00,1
2021-02-22 07:30:00,1
2021-02-22 08:00:00,3
2021-02-22 08:30:00,1
2021-02-22 09:00:00,4
2021-02-22 09:30:00,2
2021-02-22 10:00:00,3
2021-02-22 10:30:00,2
2021-02-22 11:00:00,1
2021-02-22 12:00:00,6
2021-02-22 12:45:00,1
2021-02-22 13:30:00,1
2021-02-22 14:00:00,2
2021-02-22 15:00:00,3
2021-02-22 15:45:00,22
2021-02-23 06:30:00,1
2021-02-23 07:30:00,3
2021-02-23 09:00:00,19
