Last Updated By,n
AA,4
AB,806
AC,558
AD,809
AE,19
AF,369
AG,1699
AH,284
AI,18
AK,1
AL,80
AM,696
AN,697
AP,729
AR,281
AS,645
AT,1646
AV,785
AW,519
BA,42
BB,157
BC,39
BE,3
BF,29
BH,2
BL,6
BM,101
BN,187
BP,184
BR,90
BS,153
BT,7
BW,3
BZ,27
C,78
CB,675
CC,137
CD,7
CE,41
CF,92
CG,184
CH,113
CJ,5606
ck,21
CK,971
CL,91
CM,1293
CN,108
CP,180
CR,71
CS,512
CT,15
CU,247
CV,5
DA,386
DB,225
DC,1187
DD,6
DE,583
DF,83
DG,190
DH,83
DJ,166
DL,94
DM,796
DN,1961
DO,18
DP,8
DR,167
DS,237
DT,13
DV,4481
DW,94
DY,1
DZ,143
EB,298
EC,1
EE,99
EF,9
EH,151
EK,1985
EL,67
EM,7
EP,33
ER,1
ES,44
ET,5772
EW,319
FA,182
FB,43
FH,4
FL,34
FM,13
FS,49
GA,21
GB,429
GC,63
GD,1905
GH,90
GJ,424
GK,170
GL,71
GM,3137
GR,8
GS,505
GT,1153
GW,72
HA,1
HB,656
HC,651
HD,31
HG,5
HJ,362
HO,132
HQ,363
HR,33
HT,20
HY,2
IC,9
IF,42
IJ,121
IK,4
IM,11
IS,15
JA,179
JB,340
JC,784
JD,522
JF,200
JG,358
JH,491
JJ,75
JK,170
JL,18272
JM,1223
JN,5
JO,169
JP,1972
JQ,80
JR,128
JS,528
JT,47
JV,4644
JW,170
JY,11
KA,28
KB,2836
KC,1880
KD,58
KE,3
KF,44
KG,296
KH,87
KJ,30
KK,164
KL,637
KM,955
KN,2
KO,6
KP,157
KR,909
KS,1220
KW,65
LA,397
LC,113
LD,3
LF,41
LG,310
LH,144
LJ,573
LL,12
LM,17
LP,544
LR,210
LS,86
LT,14
LV,149
LW,269
M,399
M.,2
MA,502
MB,1358
MC,116
MD,934
MF,163
MG,1007
MH,419
MJ,528
MK,13
ML,538
MM,1088
MN,16
MO,78
MP,198
MR,2
MS,913
MT,987
MU,91
MV,48
MW,184
NB,5428
NC,118
ND,11
NF,766
NG,500
NH,185
NL,488
NM,1830
NN,37
NP,1665
NR,142
NS,1672
NU,55
NW,37
NZ,25
OB,48
OJ,162
OM,133
OO,387
PD,513
PG,58
PK,1357
PL,205
PM,1
PO,43
PR,45
PS,14343
PV,73
PW,56
QS,195
RA,128
RB,28
RC,101
RD,568
RF,273
RH,1108
RK,83
RL,348
RM,18
RO,1
RP,513
RR,24
RS,1601
RT,9
RV,62
RW,50
SA,270
SB,367
SC,433
SD,1526
SE,431
SF,23
SG,219
SH,1182
SJ,2
SK,1
SL,77
SM,257
SN,66
SP,599
SQ,314
SR,1493
SS,364
ST,5
SW,116
SY,13
SZ,464
T,11
TB,6
TC,139
TD,5
TG,40
TH,2
TI,1157
TJ,704
TM,275
TR,8
TS,33
TT,21
TW,18480
UV,1
VA,19
VG,45
VJ,1369
VK,150
VR,58
VS,8
VT,278
VW,103858
WA,26
WD,765
WG,29
WH,107
WK,44
WL,7
WM,400
WS,144
WT,54
WW,26
YB,108
YM,20
ZH,53
ZL,5
NA,34
