Event,n
HDG6DO,59
kong,1
U00001,2
U00002,2
U00003,3
U00004,1
U00005,1
U00006,1
U00007,2
U00008,2
U00009,10
U00010,474
U00011,2
U00012,4
U00013,10
U00014,1
U00015,3
U00016,644
U00017,649
U00018,19
U00019,1
U00020,2
U00021,1
U00023,1
U00025,1
U00026,17
U00027,3
U00028,3
U00030,6
U00031,2
U00032,5
U00033,5
U00034,4
U00035,4
U00036,2
U00037,5
U00038,2
U00039,1
U00040,3
U00041,1
U00042,3
U00043,6
U00044,6
U00045,6
U00046,6
U00047,2
U00048,7
U00049,1
U00050,6
U00051,6
U00052,2
U00053,5
U00054,3
U00055,2
U00056,3
U00057,5
U00058,23
U00059,2
U00060,7
U00061,6
U00062,6
U00063,5
U00064,1
U00065,1
U00066,7
U00067,6
U00068,5
U00069,4
U00070,6
U00071,3
U00072,2
U00073,5
U00074,5
U00075,5
U00076,5
U00077,6
U00078,3
U00079,6
U00080,3
U00081,5
U00082,5
U00083,1
U00084,6
U00085,6
U00086,7
U00087,2
U00088,6
U00089,6
U00090,4
U00091,6
U00092,5
U00093,6
U00094,5
U00095,1
U00096,5
U00097,6
U00098,6
U00099,6
U00100,1
U00101,2
U00102,3
U00103,6
U00104,5
U00105,6
U00106,1
U00107,6
U00108,5
U00109,3
U00110,3
U00111,5
U00112,3
U00113,3
U00114,3
U00115,2
U00116,2
U00117,1
U00118,1
U00119,1
U00120,10
U00121,2
U00122,2
U00123,2
U00124,18
U00125,3
U00127,1
U00128,6
U00129,1
U00130,5
U00131,4
U00132,2
U00133,3
U00134,6
U00135,6
U00136,4
U00137,34
U00138,66
U00139,4
U00140,2
U00141,1
U00142,3
U00143,3
U00144,91
U00145,34
U00146,2
U00147,5
U00148,5
U00149,71
U00150,139
U00151,6
U00152,5
U00153,6
U00154,126
U00155,1
U00156,6
U00157,2
U00158,5
U00159,6
U00160,4
U00161,2
U00162,5
U00163,3
U00164,5
U00165,4
U00166,4
U00167,1
U00168,3
U00169,6
U00170,6
U00171,1
U00172,11
U00173,6
U00174,1
U00175,2
U00176,1
U00177,5
U00178,5
U00179,4
U00180,3
U00181,4
U00182,6
U00183,3
U00184,3
U00185,2
U00186,1
U00187,2
U00188,5
U00189,5
U00190,3
U00191,5
U00192,6
U00193,6
U00194,1
U00195,3
U00196,6
U00197,5
U00198,1
U00199,7
U00200,7
U00201,5
U00202,5
U00203,1
U00204,1
U00205,1
U00206,26
U00207,6
U00208,122
U00209,19
U00210,1
U00211,1
U00213,537
U00214,531
U00215,721
U00216,4
U00217,1
U00220,1
U00221,12
U00222,5
U00223,5
U00224,6
U00225,2
U00226,5
U00227,6
U00228,5
U00229,6
U00230,6
U00231,3
U00232,6
U00233,5
U00234,5
U00235,3
U00236,6
U00237,1
U00238,4
U00239,17
U00240,5
U00241,161
U00242,5
U00246,1
U00247,1
U00248,1
U00249,3
U00250,2
U00251,10
U00252,1
U00253,2
U00254,32
U00256,4
U00257,1
U00258,7
U00259,1
U00260,3
U00261,1
U00263,3
U00264,1
U00265,4
U00266,2
U00270,2
U00271,1
U00272,1
U00273,6
U00274,1
U00275,8
U00276,4
U00277,6
U00279,1
U00281,1
U00283,1
U00284,1
U00285,1
U00286,1
U00288,1
U00292,6
U00293,2
U00294,4
U00295,6
U00296,5
U00297,2
U00298,5
U00299,6
U00300,6
U00301,5
U00302,4
U00303,6
U00304,3
U00305,5
U00306,5
U00307,1
U00308,390
U00310,3
U00311,1
U00312,5
U00313,1
U00314,4
U00316,2
U00317,1
U00318,1
U00319,1
U00320,1
U00321,1
U00322,1
U00323,1
U00324,1
U00325,1
U00326,1
U00327,1
U00328,2
U00329,5
U00330,1
U00331,1
U00332,1
U00333,1
U00334,1
U00337,12
U00338,1
U00339,2
U00340,2
U00341,3
U00343,1
U00344,1
U00345,1
U00346,1
U00348,1
U00349,41
U00350,4
U00351,1
U00352,1
U00353,1
U00354,3
U00355,171
U00356,1
U00357,1
U00358,1
U00359,1
U00360,1
U00361,2
U00362,1
U00364,1
U00365,1
U00366,1
U00368,1
U00369,1
U00370,1
U00371,4
U00372,1
U00373,1
U00374,1
U00375,1
U00376,1
U00377,1
U00378,1
U00379,2
U00380,1
U00381,4
U00383,2
U00384,1
U00385,1
U00386,1
U00387,1
U00390,11
U00392,1
U00393,2
U00394,1
U00395,1
U00396,2
U00397,1
U00398,1
U00399,1
U00400,2
U00401,5
U00402,1
U00403,2
U00404,1
U00406,2
U00407,2
U00408,1
U00409,2
U00410,1
U00411,3
U00412,4
U00413,6
U00414,1
U00415,1
U00416,1
U00420,6
U00422,2
U00424,23
U00425,7
U00427,1
U00428,6
U00430,2
U00431,6
U00432,3
U00434,3
U00435,1
U00436,2
U00437,3
U00438,1
U00439,3
U00440,1
U00441,1
U00442,7
U00444,3
U00445,1
U00446,1
U00447,1
U00450,1
U00451,1
U00452,1
U00453,11
U00454,2
U00455,2
U00456,1
U00457,33
U00458,1
U00459,1
U00460,3
U00464,14
U00465,1
U00466,1
U00467,1
U00468,1
U00469,4
U00470,1
U00471,1
U00472,4
U00473,1
U00474,39
U00475,2
U00476,3
U00477,1
U00478,1
U00479,6
U00480,1
U00481,1
U00482,13
U00483,13
U00484,13
U00485,13
U00486,2
U00487,5
U00488,16
U00490,1
U00491,6
U00492,4
U00493,1
U00494,5
U00495,1
U00496,1
U00497,2
U00498,6
U00499,3
U00500,4
U00501,5
U00502,6
U00503,6
U00504,3
U00505,2
U00506,3
U00507,3
U00508,16
U00509,2
U00510,3
U00517,3
U00518,2
U00520,2
U00521,1
U00523,5
U00524,6
U00525,1
U00526,2
