APPT_END_DATE,n
2021-01-20 23:59:00,64
2021-01-21 23:59:00,74
2021-01-22 23:59:00,35
2021-01-24 23:59:00,3
2021-01-25 23:59:00,58
2021-01-26 23:59:00,43
2021-01-27 23:59:00,28
2021-01-28 23:59:00,57
2021-01-29 23:59:00,31
2021-01-30 23:59:00,5
2021-01-31 23:59:00,2
2021-02-01 23:59:00,47
2021-02-02 23:59:00,45
2021-02-03 23:59:00,79
2021-02-04 23:59:00,75
2021-02-05 23:59:00,84
2021-02-06 23:59:00,4
2021-02-07 23:59:00,1
2021-02-08 23:59:00,24
2021-02-09 23:59:00,85
2021-02-10 23:59:00,14
2021-02-11 23:59:00,78
2021-02-12 23:59:00,68
2021-02-13 23:59:00,3
2021-02-14 23:59:00,1
2021-02-15 23:59:00,6
2021-02-16 23:59:00,27
2021-02-17 23:59:00,39
2021-02-18 23:59:00,11
2021-02-19 23:59:00,73
2021-02-20 23:59:00,33
2021-02-22 23:59:00,52
2021-02-23 23:59:00,60
2021-02-24 23:59:00,60
2021-02-25 23:59:00,55
2021-02-26 23:59:00,34
2021-02-27 23:59:00,4
2021-02-28 23:59:00,2
2021-03-01 00:00:00,1
2021-03-01 23:59:00,28
2021-03-02 23:59:00,54
2021-03-03 23:59:00,57
2021-03-04 23:59:00,66
2021-03-05 23:59:00,63
2021-03-06 23:59:00,3
2021-03-07 23:59:00,8
2021-03-08 23:59:00,29
2021-03-09 23:59:00,30
2021-03-10 23:59:00,46
2021-03-11 23:59:00,113
2021-03-12 23:59:00,138
2021-03-13 23:59:00,2
2021-03-14 23:59:00,1
2021-03-15 23:59:00,29
2021-03-16 23:59:00,35
2021-03-17 23:59:00,51
2021-03-18 23:59:00,63
2021-03-19 23:59:00,46
2021-03-20 23:59:00,3
2021-03-22 23:59:00,30
2021-03-23 23:59:00,76
2021-03-24 23:59:00,56
2021-03-25 23:59:00,14
2021-03-26 23:59:00,34
2021-03-27 23:59:00,3
2021-03-29 23:59:00,23
2021-03-30 23:59:00,23
2021-03-31 23:59:00,90
2021-04-01 23:59:00,36
2021-04-02 23:59:00,46
2021-04-03 23:59:00,1
2021-04-05 23:59:00,26
2021-04-06 23:59:00,62
2021-04-07 23:59:00,37
2021-04-08 23:59:00,109
2021-04-09 23:59:00,56
2021-04-10 23:59:00,2
2021-04-11 23:59:00,2
2021-04-12 23:59:00,69
2021-04-13 23:59:00,65
2021-04-14 23:59:00,56
2021-04-15 23:59:00,44
2021-04-16 23:59:00,184
2021-04-17 23:59:00,6
2021-04-18 23:59:00,2
2021-04-19 23:59:00,54
2021-04-20 23:59:00,86
2021-04-21 23:59:00,76
2021-04-22 23:59:00,89
2021-04-23 23:59:00,92
2021-04-24 23:59:00,9
2021-04-25 23:59:00,5
2021-04-26 23:59:00,40
2021-04-27 23:59:00,52
2021-04-28 23:59:00,79
2021-04-29 23:59:00,66
2021-04-30 23:59:00,58
2021-05-01 23:59:00,3
2021-05-02 23:59:00,8
2021-05-03 23:59:00,30
2021-05-04 23:59:00,50
2021-05-05 23:59:00,46
2021-05-06 23:59:00,52
2021-05-07 23:59:00,63
2021-05-09 23:59:00,1
2021-05-10 23:59:00,48
2021-05-11 23:59:00,59
2021-05-12 23:59:00,74
2021-05-13 23:59:00,60
2021-05-14 23:59:00,85
2021-05-15 23:59:00,2
2021-05-16 23:59:00,8
2021-05-17 23:59:00,63
2021-05-18 23:59:00,62
2021-05-19 23:59:00,89
2021-05-20 23:59:00,185
2021-05-21 23:59:00,283
2021-05-22 23:59:00,2
2021-05-23 23:59:00,14
2021-05-24 23:59:00,44
2021-05-25 23:59:00,85
2021-05-26 23:59:00,107
2021-05-27 23:59:00,79
2021-05-28 23:59:00,49
2021-05-29 23:59:00,30
2021-05-30 23:59:00,41
2021-05-31 23:59:00,20
2021-06-01 11:59:00,41
2021-06-02 11:59:00,84
2021-06-03 11:59:00,92
2021-06-04 11:59:00,92
2021-06-05 11:59:00,15
2021-06-06 11:59:00,7
2021-06-07 11:59:00,55
2021-06-08 11:59:00,118
2021-06-09 11:59:00,61
2021-06-10 11:59:00,60
2021-06-11 11:59:00,54
2021-06-12 11:59:00,7
2021-06-13 11:59:00,1
2021-06-14 11:59:00,27
2021-06-15 11:59:00,96
2021-06-15 23:59:00,44
2021-06-16 11:59:00,228
2021-06-17 11:59:00,213
2021-06-18 11:59:00,51
2021-06-19 11:59:00,2
2021-06-20 11:59:00,7
2021-06-21 11:59:00,87
2021-06-22 11:59:00,95
2021-06-23 11:59:00,95
2021-06-24 11:59:00,156
2021-06-25 11:59:00,185
2021-06-26 11:59:00,19
2021-06-27 11:59:00,6
2021-06-28 11:59:00,61
2021-06-29 11:59:00,95
2021-07-01 11:59:00,136
2021-07-01 23:59:00,2
2021-07-02 11:59:00,246
2021-07-03 11:59:00,90
2021-07-04 11:59:00,1416
2021-07-05 11:59:00,3
2021-07-06 11:59:00,96
2021-07-06 23:59:00,16
2021-07-07 11:59:00,115
2021-07-07 23:59:00,16
2021-07-08 11:59:00,107
2021-07-08 23:59:00,85
2021-07-09 11:59:00,106
2021-07-10 11:59:00,9
2021-07-11 11:59:00,10
2021-07-12 11:59:00,139
2021-07-13 11:59:00,99
2021-07-13 23:59:00,8
2021-07-14 11:59:00,221
2021-07-14 23:59:00,9
2021-07-15 11:59:00,338
2021-07-15 23:59:00,67
2021-07-16 11:59:00,148
2021-07-16 23:59:00,1
2021-07-17 11:59:00,9
2021-07-18 11:59:00,6
2021-07-19 11:59:00,127
2021-07-19 23:59:00,5
2021-07-20 11:59:00,458
2021-07-20 23:59:00,66
2021-07-21 11:59:00,165
2021-07-21 23:59:00,3
2021-07-22 11:59:00,331
2021-07-22 23:59:00,4
2021-07-23 11:59:00,83
2021-07-23 23:59:00,2
2021-07-24 11:59:00,5
2021-07-24 23:59:00,1
2021-07-26 11:59:00,187
2021-07-27 11:59:00,187
2021-07-27 23:59:00,6
2021-07-28 11:59:00,104
2021-07-28 23:59:00,4
2021-07-29 11:59:00,227
2021-07-29 23:59:00,6
2021-07-30 11:59:00,131
2021-07-30 23:59:00,4
2021-07-31 23:59:00,1
2021-08-01 23:59:00,1
2021-08-02 11:59:00,95
2021-08-03 11:59:00,51
2021-08-03 23:59:00,2
2021-08-04 11:59:00,108
2021-08-04 23:59:00,5
2021-08-05 09:30:00,10
2021-08-05 11:59:00,264
2021-08-05 23:59:00,2
2021-08-06 11:59:00,54
