Appointment Start Date,n
1/1/2022,1
1/10/2022,38
1/10/2022 10:00,3
1/10/2022 11:00,2
1/11/2022,42
1/11/2022 11:00,1
1/12/2022,56
1/12/2022 11:00,1
1/13/2022,59
1/13/2022 10:00,1
1/13/2022 11:00,2
1/13/2022 7:00,2
1/14/2022,107
1/14/2022 11:30,1
1/14/2022 7:00,2
1/16/2022,7
1/17/2022,4
1/18/2022,33
1/18/2022 12:30,1
1/19/2022,56
1/19/2022 10:00,1
1/19/2022 6:00,1
1/2/2022,4
1/20/2021 12:00,19
1/20/2021 13:00,34
1/20/2021 14:30,1
1/20/2021 20:00,10
1/20/2022,87
1/20/2022 15:00,2
1/20/2022 9:30,1
1/21/2021 10:00,2
1/21/2021 10:30,26
1/21/2021 10:45,10
1/21/2021 11:00,1
1/21/2021 12:00,1
1/21/2021 12:30,1
1/21/2021 13:00,2
1/21/2021 14:00,2
1/21/2021 14:30,2
1/21/2021 17:45,2
1/21/2021 21:00,1
1/21/2021 23:30,2
1/21/2021 7:00,2
1/21/2021 8:00,4
1/21/2021 8:30,1
1/21/2021 9:00,4
1/21/2021 9:30,11
1/21/2022,62
1/21/2022 6:30,1
1/21/2022 8:30,1
1/22/2021 13:00,3
1/22/2021 13:15,2
1/22/2021 14:00,1
1/22/2021 15:00,1
1/22/2021 16:00,2
1/22/2021 6:30,2
1/22/2021 7:30,3
1/22/2021 8:00,2
1/22/2021 9:00,18
1/22/2021 9:30,1
1/23/2022,3
1/24/2021 10:00,1
1/24/2021 12:00,1
1/24/2021 14:00,1
1/24/2022,44
1/25/2021 10:00,5
1/25/2021 11:00,11
1/25/2021 11:30,5
1/25/2021 12:00,9
1/25/2021 12:30,1
1/25/2021 13:00,2
1/25/2021 7:00,5
1/25/2021 7:30,2
1/25/2021 8:30,5
1/25/2021 8:45,1
1/25/2021 9:00,12
1/25/2022,54
1/26/2021 10:00,13
1/26/2021 11:00,6
1/26/2021 12:00,7
1/26/2021 12:10,1
1/26/2021 13:30,1
1/26/2021 14:30,1
1/26/2021 15:00,2
1/26/2021 16:00,2
1/26/2021 20:00,1
1/26/2021 8:00,2
1/26/2021 9:00,3
1/26/2021 9:30,4
1/26/2022,68
1/27/2021 10:00,5
1/27/2021 10:45,1
1/27/2021 11:00,5
1/27/2021 12:00,1
1/27/2021 12:30,2
1/27/2021 13:00,1
1/27/2021 15:00,1
1/27/2021 8:00,2
1/27/2021 8:30,2
1/27/2021 9:00,6
1/27/2021 9:30,2
1/27/2022,128
1/28/2021 10:30,25
1/28/2021 11:00,1
1/28/2021 13:00,4
1/28/2021 14:30,1
1/28/2021 15:00,4
1/28/2021 16:21,1
1/28/2021 17:15,1
1/28/2021 8:00,3
1/28/2021 8:30,2
1/28/2021 9:00,5
1/28/2021 9:30,10
1/28/2022,72
1/29/2021 10:00,3
1/29/2021 11:30,2
1/29/2021 12:00,1
1/29/2021 12:30,1
1/29/2021 13:00,2
1/29/2021 13:30,1
1/29/2021 14:00,2
1/29/2021 15:00,1
1/29/2021 15:30,1
1/29/2021 16:00,2
1/29/2021 7:00,2
1/29/2021 8:00,1
1/29/2021 8:30,3
1/29/2021 9:00,4
1/29/2021 9:30,5
1/29/2022,46
1/3/2022,8
1/30/2021 10:30,4
1/30/2021 9:00,1
1/30/2022,1
1/31/2021 14:00,1
1/31/2021 15:00,1
1/4/2022,20
1/5/2022,48
1/5/2022 8:00,15
1/6/2022,66
1/7/2022,23
1/7/2022 10:30,4
1/7/2022 11:30,2
1/7/2022 7:00,2
1/9/2022,1
10/1/2021 0:00,107
10/1/2021 12:00,2
10/1/2022 10:00,107
10/1/2022 10:15,4
10/1/2022 10:30,100
10/1/2022 10:45,1
10/1/2022 10:48,1
10/1/2022 10:50,1
10/1/2022 10:55,1
10/1/2022 11:00,104
10/1/2022 11:08,1
10/1/2022 11:15,1
10/1/2022 11:30,128
10/1/2022 11:35,1
10/1/2022 11:40,1
10/1/2022 12:00,103
10/1/2022 12:15,7
10/1/2022 12:30,116
10/1/2022 12:40,1
10/1/2022 12:45,9
10/1/2022 13:00,7
10/1/2022 13:15,18
10/1/2022 13:30,14
10/1/2022 13:45,9
10/1/2022 14:00,12
10/1/2022 14:15,10
10/1/2022 14:30,10
10/1/2022 14:45,11
10/1/2022 15:00,7
10/1/2022 15:05,1
10/1/2022 15:15,11
10/1/2022 15:30,12
10/1/2022 15:45,11
10/1/2022 16:00,10
10/1/2022 16:15,12
10/1/2022 16:30,12
10/1/2022 16:45,11
10/1/2022 17:00,16
10/1/2022 17:15,11
10/1/2022 17:30,12
10/1/2022 17:45,6
10/1/2022 18:00,11
10/1/2022 18:15,12
10/1/2022 18:30,7
10/1/2022 18:45,5
10/1/2022 7:00,1
10/1/2022 7:30,125
10/1/2022 7:45,1
10/1/2022 7:50,1
10/1/2022 8:00,74
10/1/2022 8:20,1
10/1/2022 8:25,1
10/1/2022 8:30,96
10/1/2022 9:00,188
10/1/2022 9:10,2
10/1/2022 9:15,1
10/1/2022 9:30,106
10/1/2022 9:35,1
10/10/2021 0:00,6
10/10/2022 10:00,2
10/10/2022 11:00,1
10/10/2022 11:30,1
10/10/2022 13:00,2
10/10/2022 13:30,3
10/10/2022 14:00,1
10/10/2022 15:00,1
10/10/2022 17:00,2
10/10/2022 21:30,22
10/11/2021 0:00,5
10/11/2022 10:00,122
10/11/2022 10:30,108
10/11/2022 11:00,124
10/11/2022 11:15,2
10/11/2022 11:30,124
10/11/2022 12:00,178
10/11/2022 12:30,116
10/11/2022 13:00,84
10/11/2022 13:30,11
10/11/2022 13:45,2
10/11/2022 14:00,23
10/11/2022 14:30,61
10/11/2022 15:00,36
10/11/2022 15:30,3
10/11/2022 16:00,11
10/11/2022 16:30,2
10/11/2022 17:00,1
10/11/2022 17:15,1
10/11/2022 18:00,1
10/11/2022 19:30,4
10/11/2022 20:00,11
10/11/2022 20:15,9
10/11/2022 20:30,7
10/11/2022 20:45,8
10/11/2022 21:00,12
10/11/2022 21:15,11
10/11/2022 21:30,7
10/11/2022 21:45,13
10/11/2022 22:00,5
10/11/2022 6:00,1
10/11/2022 6:30,13
10/11/2022 7:30,4
10/11/2022 8:00,80
10/11/2022 8:30,86
10/11/2022 8:40,3
10/11/2022 9:00,130
10/11/2022 9:30,104
10/11/2022 9:45,2
10/12/2021 0:00,119
10/12/2021 10:00,1
10/12/2021 8:00,1
10/12/2022 10:00,120
10/12/2022 10:15,1
10/12/2022 10:30,85
10/12/2022 10:45,2
10/12/2022 11:00,106
10/12/2022 11:15,3
10/12/2022 11:30,102
10/12/2022 11:40,7
10/12/2022 11:45,1
10/12/2022 12:00,127
10/12/2022 12:15,7
10/12/2022 12:30,104
10/12/2022 13:00,21
10/12/2022 13:30,42
10/12/2022 14:00,15
10/12/2022 14:15,1
10/12/2022 14:30,18
10/12/2022 15:00,49
10/12/2022 15:30,8
10/12/2022 15:45,2
10/12/2022 16:00,30
10/12/2022 16:30,5
10/12/2022 16:45,3
10/12/2022 17:00,10
10/12/2022 17:30,51
10/12/2022 18:00,1
10/12/2022 18:15,1
10/12/2022 19:00,2
10/12/2022 19:30,8
10/12/2022 19:45,4
10/12/2022 20:00,12
10/12/2022 20:15,10
10/12/2022 20:30,10
10/12/2022 20:45,9
10/12/2022 21:00,6
10/12/2022 21:15,9
10/12/2022 21:30,10
10/12/2022 21:45,9
10/12/2022 5:00,1
10/12/2022 6:30,1
10/12/2022 7:00,2
10/12/2022 7:30,66
10/12/2022 8:00,38
10/12/2022 8:30,92
10/12/2022 8:35,1
10/12/2022 9:00,110
10/12/2022 9:15,2
10/12/2022 9:30,147
10/12/2022 9:45,5
10/13/2021 0:00,157
10/13/2021 11:00,1
10/13/2021 11:30,1
10/13/2021 6:00,3
10/13/2022 10:00,127
10/13/2022 10:05,1
10/13/2022 10:10,1
10/13/2022 10:20,2
10/13/2022 10:30,105
10/13/2022 11:00,135
10/13/2022 11:05,1
10/13/2022 11:30,105
10/13/2022 11:45,1
10/13/2022 12:00,136
10/13/2022 12:15,3
10/13/2022 12:30,107
10/13/2022 13:00,38
10/13/2022 13:30,2
10/13/2022 13:45,3
10/13/2022 14:00,21
10/13/2022 14:30,12
10/13/2022 15:00,64
10/13/2022 15:30,3
10/13/2022 16:00,32
10/13/2022 16:15,4
10/13/2022 16:30,1
10/13/2022 17:30,1
10/13/2022 18:00,5
10/13/2022 18:30,5
10/13/2022 19:00,4
10/13/2022 19:45,6
10/13/2022 20:00,16
10/13/2022 20:15,12
10/13/2022 20:30,9
10/13/2022 20:45,13
10/13/2022 21:00,14
10/13/2022 21:15,12
10/13/2022 21:30,11
10/13/2022 21:45,10
10/13/2022 5:00,2
10/13/2022 6:00,33
10/13/2022 7:30,48
10/13/2022 8:00,35
10/13/2022 8:05,1
10/13/2022 8:10,31
10/13/2022 8:18,1
10/13/2022 8:30,98
10/13/2022 9:00,77
10/13/2022 9:10,31
10/13/2022 9:30,189
10/13/2022 9:45,3
10/14/2021 0:00,146
10/14/2021 10:30,1
10/14/2021 6:00,3
10/14/2022 10:00,143
10/14/2022 10:05,1
10/14/2022 10:30,126
10/14/2022 10:45,2
10/14/2022 11:00,138
10/14/2022 11:15,9
10/14/2022 11:30,102
10/14/2022 11:45,1
10/14/2022 12:00,126
10/14/2022 12:15,15
10/14/2022 12:30,123
10/14/2022 13:00,101
10/14/2022 13:30,6
10/14/2022 14:00,70
10/14/2022 14:15,2
10/14/2022 14:30,6
10/14/2022 14:45,4
10/14/2022 15:00,36
10/14/2022 15:30,2
10/14/2022 15:45,3
10/14/2022 16:00,7
10/14/2022 16:30,2
10/14/2022 16:45,1
10/14/2022 17:00,15
10/14/2022 17:30,5
10/14/2022 18:00,2
10/14/2022 18:30,1
10/14/2022 19:30,6
10/14/2022 20:00,15
10/14/2022 20:15,10
10/14/2022 20:30,11
10/14/2022 20:45,10
10/14/2022 21:00,11
10/14/2022 21:15,10
10/14/2022 21:20,1
10/14/2022 21:30,12
10/14/2022 21:45,8
10/14/2022 22:00,2
10/14/2022 6:30,1
10/14/2022 7:00,2
10/14/2022 7:30,51
10/14/2022 7:40,1
10/14/2022 8:00,130
10/14/2022 8:30,117
10/14/2022 9:00,165
10/14/2022 9:15,2
10/14/2022 9:25,1
10/14/2022 9:30,102
10/14/2022 9:50,1
10/15/2021 0:00,97
10/15/2021 10:00,2
10/15/2022 10:00,159
10/15/2022 10:30,111
10/15/2022 11:00,120
10/15/2022 11:30,109
10/15/2022 12:00,109
10/15/2022 12:15,8
10/15/2022 12:30,113
10/15/2022 12:45,11
10/15/2022 13:00,37
10/15/2022 13:15,13
10/15/2022 13:30,10
10/15/2022 13:45,10
10/15/2022 14:00,12
10/15/2022 14:15,10
10/15/2022 14:30,11
10/15/2022 14:45,11
10/15/2022 15:00,29
10/15/2022 15:15,11
10/15/2022 15:30,8
10/15/2022 15:45,8
10/15/2022 16:00,14
10/15/2022 16:15,14
10/15/2022 16:30,12
10/15/2022 16:45,11
10/15/2022 17:00,22
10/15/2022 17:15,11
10/15/2022 17:30,13
10/15/2022 17:45,7
10/15/2022 18:00,11
10/15/2022 18:15,10
10/15/2022 18:30,11
10/15/2022 18:45,5
10/15/2022 19:00,17
10/15/2022 21:00,10
10/15/2022 7:00,1
10/15/2022 7:30,39
10/15/2022 8:00,45
10/15/2022 8:30,101
10/15/2022 9:00,154
10/15/2022 9:30,106
10/16/2022 10:00,4
10/16/2022 12:30,11
10/16/2022 12:45,10
10/16/2022 13:00,23
10/16/2022 13:15,12
10/16/2022 13:30,11
10/16/2022 13:45,13
10/16/2022 14:00,12
10/16/2022 14:15,10
10/16/2022 14:30,13
10/16/2022 14:45,5
10/16/2022 15:00,30
10/16/2022 15:15,12
10/16/2022 15:30,13
10/16/2022 15:45,10
10/16/2022 16:00,23
10/16/2022 16:15,9
10/16/2022 16:30,10
10/16/2022 16:45,12
10/16/2022 17:00,32
10/16/2022 17:15,5
10/16/2022 17:30,5
10/16/2022 17:45,12
10/16/2022 18:00,10
10/16/2022 18:15,10
10/16/2022 18:30,10
10/16/2022 18:45,12
10/16/2022 21:00,19
10/17/2021 0:00,1
10/17/2022 10:00,21
10/17/2022 10:30,1
10/17/2022 11:00,4
10/17/2022 11:15,3
10/17/2022 12:00,15
10/17/2022 12:30,2
10/17/2022 13:00,39
10/17/2022 13:30,2
10/17/2022 14:00,8
10/17/2022 14:30,8
10/17/2022 15:00,37
10/17/2022 15:20,1
10/17/2022 15:30,14
10/17/2022 16:00,7
10/17/2022 16:30,2
10/17/2022 17:00,2
10/17/2022 17:30,1
10/17/2022 19:30,1
10/17/2022 19:45,4
10/17/2022 20:00,11
10/17/2022 20:15,12
10/17/2022 20:30,12
10/17/2022 20:45,11
10/17/2022 21:00,12
10/17/2022 21:15,7
10/17/2022 21:30,10
10/17/2022 21:45,9
10/17/2022 8:00,3
10/17/2022 8:45,1
10/17/2022 9:00,4
10/18/2021 0:00,232
10/18/2021 13:30,20
10/18/2022 10:00,37
10/18/2022 10:30,2
10/18/2022 11:00,35
10/18/2022 11:15,1
10/18/2022 11:30,6
10/18/2022 12:00,7
10/18/2022 12:15,2
10/18/2022 13:00,28
10/18/2022 13:15,1
10/18/2022 13:30,15
10/18/2022 13:45,5
10/18/2022 14:00,1
10/18/2022 14:20,2
10/18/2022 14:30,20
