NAMEFIRST,n
a,4
aaaron,1
aabrekk,1
aadam,1
aaden,1
aadhil,1
aadhya,3
aadhyakarthik,1
aadhyamrutha,1
aadi,2
aadil,7
aadir,1
aadira,1
aaditi,1
aadya,7
aahana,1
aahil,1
aaisyah,1
aakash,11
aakashgitesh,1
aake,1
aakhil,2
aakriti,1
aakshi,1
aalayah,2
aaliya,2
aaliyah,31
aaliyahfaith,1
aalok,2
aamer,3
aamir,1
aamon,1
aamra,1
aanchal,7
aanika,1
aaniya,2
aanya,7
aapticyril,1
aarad,1
aaradhya,3
aaralyn,1
aarav,9
aareon,1
aarettikustavi,1
aarian,1
aarilyn,4
aarin,2
aarinola,1
aariv,1
aariya,1
aariyah,3
aariz,2
aarman,1
aarna,1
aarnav,1
aarohi,1
aaron,875
aaronand,1
aaronea,1
aaronray,1
aaronxavier,1
aarsh,1
aart,5
aarti,1
aarup,1
aarush,2
aarushi,5
aarvi,1
aarya,3
aaryan,1
aarynn,1
aashi,3
aashika,1
aashir,1
aashirya,2
aashish,2
aashka,1
aashna,2
aashni,2
aashvi,1
aasif,2
aasim,3
aasima,1
aasit,1
aastha,1
aatik,1
aatman,1
aatreye,1
aayan,2
aayesha,1
aayra,1
aayudh,2
aayush,5
aayushi,2
aazam,1
aaziz,1
ab,2
aba,1
abadir,2
abagail,4
abagayle,2
abaigeal,2
abana,1
abashai,1
abay,3
abayomi,2
abba,1
abbagale,1
abbas,15
abbaynesh,1
abbe,6
abbey,37
abbi,2
abbie,21
abbigail,8
abbigale,1
abbigayle,1
abbillyn,1
abbott,2
abby,79
abbyanne,2
abbygayle,1
abd,1
abdalla,2
abdallah,7
abdallahrashid,1
abdalmajid,1
abdeel,3
abdel,3
abdelakim,1
abdelelah,2
abdelfattah,1
abdelhalim,2
abdelhamid,6
abdelhaq,3
abdelhrani,1
abdelkareem,1
abdelkrim,1
abdellati,1
abdellatif,2
abdelmadjid,1
abdelmajid,1
abdelmalek,1
abdelrahman,1
abdelwahab,1
abderrahmane,1
abdeslam,1
abdi,2
abdias,1
abdiel,7
abdihakem,1
abdilahi,1
abdirahim,1
abdirahman,1
abdiwahab,1
abdo,4
abdool,1
abdoulaye,5
abdoulkadri,1
abdul,22
abdulahad,1
