MEETING_ROOM,n
#69,1
#name?,2
012 095,2
015 018,1
026/445,5
026b 053 095,1
027 - didl,1
059 & 062,1
065 045 337 339,14
089/018,2
08b,27
1,1569
1-a,1
10,7
100,41
100 res,1
1000,1
10000,3
10001,11
10002,6
10003,1
10008,2
10010,2
10011,2
10012,18
10015,1
10017,6
10019,8
10020,11
10021,1
10022,13
10024,2
10028,2
10029,53
10031,20
10033,113
10043,7
10044,2
10045,1
10046,2
10047,6
10052,4
10054,5
10056,1
100a,2
101,20
102,8
1020,1
10201,3
10202,20
10207,7
10209,13
10212,1
10216,1
10220,1
10230,2
10232,3
10236,6
10239,1
10244,1
10256,13
10258,170
10260,1
10264,1
10270,1
10276,1
103,1
104,16
104a,11
105,8
106,31
107,111
1078,1
108,117
108a,14
108b,44
109,30
10th floor,16
10th floor secure wi,2
110,38
110-115,9
111,3
112,112
112a,10
114,54
115,153
115a,13
115b,9
116,134
117,1
118,3
118c,4
12,10
120,47
120 and ma,2
121,13
122,313
123,17
124,57
124 vps office,3
125,12
125b,1
126,168
126/bowling alley,23
127,11
127c,1
128b,1
13,11
130,31
130a,1
132,138
132 a,9
132 ww,2
132a,2
134,100
135,24
135b,5
136,6
137,2
137b,5
138,73
138/navy steps,2
139,2
13a,3
14,67
140,65
140 / pres,2
141,5
142,32
142b,2
143,35
143a,5
143b,2
143c,26
144,147
144a,4
145,29
146,16
147,12
148,5
148b,1
149,5
15,13
1500,1
151,11
152,39
153,17
156,5
157,15
158,20
159,285
159/160,1
16,33
160,812
160a,29
161,222
161.5,8
162,4
162a,9
162b,1
163,30
164,53
165,6
166,1
167,55
168,14
169,1
17,17
170,159
171,8
172,111
173,6
174,4
175,1
176,20
176a,1
177,6
177a,2
178,999
179,4
17th & pen,2
17th/penn,2
18,222
18 id badge office,1
180,266
180-a,5
180 a,31
180a,880
181,30
182,3
183,75
184,3
185,32
187,9
188,34
188a,11
189,5
18a,5
18ww,13
19,45
19-jan,1
190,23
191,2
191b,3
192,58
193,20
194,43
195,4
196,5
197,25
198,67
199,71
1b29,5
1st floor,23
1st floor of residen,29
1st floor vpr,112
1st floor ww - nsa s,4
1st floor/basement,7
1st floor/front lawn,2
1st floor/holiday te,27
1st floor/pool deck,2
1st floor/tent,2
2,22
20,16
200,315
2008,3
201,1
201/bldg 19,1
202,21
2020,29
2020 neob,2
202a,72
202b,13
204,25
204a,3
205,118
206,193
207,8
208,123
208 east wing,6
208 ew,9
209,9
21,86
210,1193
210-212,24
210/212,771
210/212 di,23
210/212 diplomatic r,16
211,15
211 ew,8
212,1069
212 diplomatic recep,10
212/210,4
2120,9
213,10
214,3
215,245
216,33
217,96
217 ww,1
218,18
219,3
219 ww,2
22,3
220,17
2200,5
2200b,1
220a,15
221,24
221 ww,1
2210,2
2211b,16
222,1
223,18
224,1
225,15
226,996
2264,6
226a,2
228,1045
229,11
230,268
230 a,44
230 aw,14
230 b,47
2303,2
230a,2818
230a sow,79
230b,1309
230b and sms,1
233,48
234,583
235,16
235b,7
236,1057
236 and sms,1
236b,7
236w,6
237,9
238,206
239,26
240,45
241,1
242,39
243,42
243 b,19
243d,2
244,3
245,6
246,61
248,306
249,6
25,310
25 airlift,1
250,33
251,31
251 eeob,1
252,238
252-b,1
252 b,10
2520,1
252b,236
253,30
254,2
255,2
256,11
257,1
258,48
26,4
260,360
261,35
262,33
263,24
264,138
265,74
267,38
268,9
269,1
269a,1
27,45
270,23
271,13
272,22
273,136
274,256
276,561
278,7
279,83
279a,7
280,65
281,6
282,53
284,65
285,1
286,46
287,6
288,23
289,1
290,9
291,220
292,12
294,4
296,1
298,86
2nd cafeteria/3rd fl,1
2nd floor,13
3,1
3-001,1
300,37
3001,66
3002,170
3002 esc conference,6
3002a,1
3002b,57
3007,12
301,1
3012,1
3015,180
3015 & 320,9
3015 & 4220,2
3015 5001,1
3019,21
302,7
302-a,3
3020,113
3021,16
3025,204
3026,9
302a,23
305,5
305/307,2
306,1
307,105
308,13
309,2
310,2
3102,5
3104,10
3109,14
311,231
3113 4226,1
312,483
315,9
316,162
316 333 335 337 339,1
316a,1
318,30
319,547
320,12
3200,2
3201,645
3202,480
3203,18
3209,3
321,190
322,1
3225,1
323,1
3230,2
325,253
326,719
3265,2
327,2
330,267
330 sms e,10
330b,1
3315,1
333,41
333 337 339 044,6
336,151
337,3
337-339,1
337 -339,7
338,3
339,46
340,151
341,6
342,9
343,21
344,249
345,1
346,108
3469,1
348,2
350,6130
351,575
353,115
358,1
359,27
360,240
361,11
362,2
364,52
367,536
368,27
37,40
370,7
371,7
372,2
373,5
374,4981
374 exec,2
374 sms,13
374 sms e,1
374 sms ex,3
374 sms exec,38
374 sms exec.,11
374 sms l,11
374 sms la,2
374 sms large,63
374 sms s,5
374 sms sm,4
374 sms small,7
374/sms,1
374/sms ex,2
374/sms la,4
375,11
376,65
380,98
380-,1
381,694
382,12
384,3
386,560
387,74
389,62
390,65
393,322
393 and sm,2
394,82
394/basement,3
396,1
3rd floor,1
3rd floor neob,1
40-,2
400,43
4000,104
40014.7,1
402,4
404,5
405,62
407.6,2
41,1
410,1
4100,4
4106,6
411,33
412,42
412a,574
413,9
414,33
415,74
418,126
418/230b,1
419,285
419.3,1
420,4
