Total People,n
1,69116
10,21654
100,2625
101,395
102,705
103,309
104,625
105,210
106,503
107,211
108,537
109,855
11,13364
110,319
111,217
112,763
113,556
114,287
115,339
1157,1154
116,343
117,461
118,469
1181,1165
1182,817
119,223
12,14610
120,471
121,91
1213,1212
122,242
124,354
125,366
126,378
127,119
128,377
129,382
1299,1249
13,10628
130,125
131,389
132,357
1323,1239
133,527
1330,1053
134,129
135,817
136,268
137,388
1373,1344
138,411
139,648
14,10742
140,136
141,421
142,277
143,142
144,215
145,432
146,433
147,138
148,294
149,429
15,11646
150,586
1506,585
151,392
152,299
153,455
154,146
1547,1418
155,296
156,738
1562,1455
157,623
158,304
159,314
16,9946
160,158
161,161
162,480
163,1148
164,163
165,311
166,408
167,164
168,316
169,488
1696,1658
17,9033
170,639
171,161
1710,1099
172,996
173,337
175,328
176,347
178,133
179,344
18,11059
180,668
181,318
182,1080
183,525
186,371
187,186
188,185
189,556
19,12661
190,181
191,191
192,333
193,192
194,375
195,583
196,1116
197,197
198,566
199,571
2,128181
20,12459
200,390
201,194
202,394
203,596
204,555
205,203
206,779
207,412
208,410
209,1022
21,5360
210,346
211,237
212,795
213,1263
214,212
2155,2109
216,198
2162,1660
217,650
218,1005
22,5879
220,216
221,220
222,421
224,441
225,1108
226,225
227,224
229,454
23,4358
230,440
231,687
232,464
234,234
236,668
237,701
238,418
239,473
24,5586
240,709
241,176
2424,1825
243,657
244,471
245,245
246,488
247,1229
248,2457
249,2706
25,5949
250,5367
251,746
252,252
254,246
255,941
259,514
26,4426
262,262
263,263
264,263
265,521
266,265
267,225
268,263
27,4721
271,726
272,271
274,273
277,276
2775,2350
279,270
28,4079
280,258
281,277
29,4954
292,573
294,291
296,288
297,286
298,584
299,294
3,105883
30,8846
300,1449
301,599
302,297
304,242
306,300
309,308
31,4052
312,266
313,285
32,4250
321,317
323,312
324,216
327,320
329,642
33,3701
330,605
331,327
333,333
335,334
338,13
339,339
34,3935
344,339
347,336
349,342
35,4849
351,351
354,339
357,342
36,3834
366,297
37,3536
370,360
374,672
376,656
378,754
379,336
38,3074
381,381
382,382
383,375
384,707
386,758
39,4023
390,765
393,391
398,783
4,166563
40,6474
401,395
402,395
41,3394
412,320
414,401
416,410
419,415
42,3951
420,398
426,425
429,425
43,3290
430,421
432,426
434,346
438,332
44,3340
440,437
4478,4340
448,868
449,889
45,3690
456,901
46,3896
47,4055
477,468
478,468
48,5068
481,934
482,477
49,6010
491,866
5,103668
50,22103
502,502
51,1202
511,402
517,377
52,870
53,1161
530,990
539,531
54,1128
545,541
546,1079
55,1375
56,990
560,555
5619,4483
562,562
57,951
574,553
58,825
59,795
599,572
6,121446
60,1377
605,1203
608,607
61,1225
613,586
618,597
62,1025
621,576
628,563
63,1232
631,288
639,632
64,947
643,1929
644,632
65,1593
656,649
66,1503
664,604
665,644
666,663
668,327
67,1042
670,959
679,315
68,853
69,760
690,672
694,671
7,33884
70,1375
701,699
703,1400
707,700
71,1156
72,771
727,2154
729,482
73,1012
730,718
734,728
737,731
738,732
739,1446
74,881
741,726
749,1420
75,1693
752,716
754,490
756,750
757,753
76,796
765,345
77,1006
78,1174
788,739
789,777
79,930
8,26773
80,1504
802,782
804,796
81,644
82,1036
824,274
827,622
83,1122
832,1656
834,830
84,1069
840,757
85,1042
86,587
87,861
870,702
88,704
884,751
89,1163
9,19151
90,765
91,1172
92,911
920,548
93,730
94,685
95,926
96,962
961,1704
97,1426
98,1249
99,2003
NA,557
