Appointment Cancel Date,n
1/1/1900 0:00,12
1/11/2024 9:13,6
1/12/2023 17:48,4
1/14/2022 12:11,7
1/14/2022 12:12,21
1/31/2023 8:39,2
1/31/2024 16:08,3
1/6/2022 11:13,3
1/6/2023 15:14,1
10/11/2022 13:02,4
10/12/2021 16:33,2
10/18/2021 11:56,2
10/2/2023 16:41,14
10/2/2023 16:42,28
10/2/2023 16:43,14
10/20/2021 9:45,2
10/22/2021 9:59,2
10/27/2023 10:07,4
10/5/2021 12:17,6
10/5/2022 7:44,2
11/1/2023 9:40,1
11/17/2021 16:39,4
11/23/2022 8:08,13
11/7/2021 12:11,56
11/8/2021 13:34,1
12/1/2021 19:03,3
12/13/2021 14:47,8
12/14/2022 7:14,14
12/15/2021 12:13,3
12/18/2021 9:48,150
12/18/2021 9:49,2
12/5/2023 17:36,10
2/10/2023 11:30,3
2/13/2024 11:31,3
2/2/2023 9:27,10
2/22/2024 12:34,14
2/23/2023 17:32,35
2/24/2023 13:40,18
2/25/2021 14:11,3
2/28/2023 15:30,1
2/4/2021 15:51,1
2/7/2024 9:03,3
2/9/2024 9:40,1
3/1/2023 10:11,4
3/14/2023 16:19,5
3/16/2022 8:05,1
3/16/2022 8:08,3
3/16/2022 8:09,8
3/16/2022 8:10,9
3/16/2022 8:11,2
3/17/2022 14:07,3
3/20/2023 8:40,1
3/23/2022 16:58,4
3/28/2022 12:28,12
3/3/2022 9:35,1
3/3/2023 20:05,4
4/12/2023 20:16,1
4/18/2022 16:42,7
4/21/2022 14:20,4
4/22/2021 8:26,1
4/23/2021 14:20,1
4/25/2022 18:41,1
44265.42431,1
44265.425,1
44265.42569,1
5/13/2022 13:48,4
5/15/2023 9:18,2
5/17/2022 9:40,3
5/19/2022 16:03,25
5/25/2023 14:47,23
5/3/2022 14:04,1
5/31/2023 11:05,1
5/4/2022 10:07,1
5/6/2021 17:15,1
5/6/2021 17:16,1
5/6/2021 17:18,1
5/9/2022 16:45,1
6/14/2022 15:25,4
6/23/2023 14:45,9
6/27/2023 11:57,4
6/27/2023 14:21,1
6/30/2021 14:57,19
7/1/2021 19:25,2
7/10/2023 11:04,14
7/10/2023 13:59,9
7/11/2023 11:52,9
7/13/2022 9:01,28
7/15/2021 18:18,5
7/16/2021 17:46,5
7/19/2021 11:24,1
7/19/2021 11:27,1
7/19/2021 17:02,3
7/19/2021 18:07,1
7/19/2021 19:22,1
7/2/2023 13:26,11
7/20/2021 8:45,1
7/20/2021 8:47,1
7/20/2021 8:48,1
7/20/2021 8:49,1
7/20/2021 8:50,1
7/20/2021 8:53,1
7/21/2022 11:42,2
7/22/2021 7:23,2
7/25/2023 10:28,4
7/25/2023 13:26,2
7/29/2021 12:57,3
7/29/2023 12:46,3
7/3/2023 11:02,9
7/30/2021 13:51,1
7/30/2022 14:22,2
8/12/2021 12:41,1
8/14/2023 8:58,5
8/25/2021 10:24,1
8/25/2021 10:26,1
8/29/2023 9:08,4
9/1/2022 11:11,3
9/1/2022 11:12,3
9/13/2023 13:16,3
9/15/2021 11:04,1
9/15/2022 19:03,1
9/19/2022 11:24,3
9/2/2022 10:11,15
9/22/2023 13:43,2
9/27/2021 15:36,3
9/8/2021 9:25,3
NA,1306707
