Caller Last Name,n
ABDELNABI,828
ACEVEDO,14
ACKERMAN,203
ADAME,537
ADMETE,242
ADURY,148
AGUILAR,66
AGUILERA,27
AHMAD,575
AHONEN,1
AITKEN,14
ALCORN,36
ALEXANDER,136
ALFONSO,395
ALLEN,10
ALLEY,15632
AMATOS,829
AMES,5
AMIN,236
AMOS,237
ANDERSON,46
ANDERSONGUNIA,19
ANGEL,16
ANGLIM,4
AQUECHE,21
ARMSTRONG,61
ARNAEZ,19
ASHE,15
ASHWORTH,5
ASKEW,753
ASKEY,52
ASKINS,107
ATCHINSON,2
ATMAJIAN,18
AUSTIN,62
AWAD,63
AYAR,212
BAEZ,52
BAEZ ALAYON,7
BAILEY,404
BAKER,2
BALLEN,7691
BAMBERG,36
BANNER,12
BARGZIE,21
BARNETT,933
BARRETT,5
BARRINGER,1
BARSHALOM,13
BARTO,31
BARTON,1
BAXLEY,4
BAYLESS,133
BEAN,6
BEASLEY,16
BEATTY,15
BEDREGAL,44
BELKIND,1144
BELL,483
BELT,11
BENDER,286
BENNETT,14
BERGER,96
BERNSTEIN,437
BETANCOURT,12
BHATTACHARYA,45
BIALEK,1
BIEL,3
BILLE,5
BILLINGS,24
BISCHOFF,2
BISHOP,744
BLACK,73
BLACKMAN,726
BLANTON,97
BLAS,1031
BOBBSEMPLE,6
BOHNSACK,1
BOLAND,468
BOLDS,10
BONAVINA,100
BOSARGE,25
BOTELLO,96
BOUSBAR,54
BOUSQUETTE,600
BOWMAN,1582
BRACEY,5
BRACKEN,21
BRAD,1
BRADSHER,101
BRAMMER,66
BRANN,139
BRANSON,36
BRANT,101
BRAUN,16
BRAY,21
BRIGHAM,1
BRINK,89
BRISTOL,1766
BROCKBANK,225
BROOKS,137
BROWN,511
BROWNE,184
BRUCE,3
BRYAN,194
BUCCI,641
BUENROSTRO-AVILA,2370
BULLOCK,28
BURGESS,29
BURGESSGREGG,3998
BURKE,76
BURNETT,193
BURNHAM,2385
BURNS,11
BURSTEIN,42
BURTON,343
BUSTION,2
BUTASH,102
BUTLER,6166
BYERS,1221
BYON,229
BYRD,22
Basement and,13
CAHILL,4
CALLANAN,72
CAMPANA,49
CANAVAN,109
CARABELLO,88
CARACAPPA,4
CARMICHAEL,44
CARPENTER,27
CARRASQUILLO,169
CARRATALA,414
CARROLL,8
CARSE,866
CARSON,2
CARTER,1
CASEY,116
CASILLAS,4900
CASSINGHAM,74
CASTANEDA,375
CASTILLO,568
CASTRO,162
CHADHA,16
CHALLACOMBE,22
CHAPMAN,912
CHARLES,71
CHARLESWORTH,51
CHASE,121
CHASEZ,126
CHAUDHARY,51
CHAVIS,84
CHICARELLA,1
CHIU,676
CHO,1
CHON,477
CHRISTIAN,261
CITRON,507
CLARK,40
CLARKE,302
CLAUSEN,5
CLEAVELAND,1025
CLEMENTE,184
COARI,1239
COBB,334
COBLENTZ,4
COGER,12
COHEN,710
COLE,1902
COLEMAN,3580
COLLAZO,1
COLLINS,2130
COLTON,493
COMERFORD,6
COMPTON,812
CONDON,30
CONGER,108
CONRAD,82
COOPER,21
CORBISIERO,28
CORLEY,2
COSTELLO,480
COURTNEY,7
COX,2
CRAVARITIS,21
CRAWFORD,79
CREASAP,1
CREMISIO,20
CRESPO,17
CRISTOBAL,827
CRITTENDON,197
CROCKER,25
CROSS,87
CROWLEY,2
CROXTON,486
CUNNIFF,4
CURRY,4
CURTIN,1
CURTIS,136
DAGANZO,1
DAHN,88
DALMYRA,348
DANGELO,40
DANIELS,17
DANSKYBARI,3
DAPHNIS,68
DARCANGELO,74
DAVENPORT,6
DAVIDA,2668
DAVILA,1
DAVIN,457
DAVIS,375
DEAN,36
DEARMOND,5
DEFOREST,319
DELCOCO,10
DELGIUDICE,106
DEMERS,4
DEMING,873
DENARO,139
DENNIS,15
DENNISON,95
DEPARLE,939
DESCH,295
DIBARI,2
DICKERSON,176
DICKSON,134
DIEN,459
DIETRICH,820
DINSMORE,54
DIRKSEN,1562
DISSELL,6125
DOIRON,107
DONATELLI,23
DONILON,724
DORNBUSH,208
DORSEY,63
DORTCH,1
DOUGLAS,6
DOWNING,1
DOXTATER,37
DRIGGERS,1
DRISCOLL,53
DROEGE,50
DUARTE,9
DUBIN,2
DUBLIN,14
DUNCAN,288
DURAN,514
DURANTE,6
EDGERTON,530
EDWARDS,25
EGBEWOLE,3
EGER-ADGENT,3
EISEMANN,431
ELLIOTT,76
ENG,69
ENTZMINGER,1
EPPERSON,122
EPSTEIN,59
ERICKSON,19
ESCOBARALAVA,19
ESTRADA,47
EVANS,3
EVERETTE,57
FABINA,152
FALBO,961
FAMA,64
FANNING,8
FARLEY,23
FASANO,1327
FAULKNER,2792
FEAGANS,50
FELDER,182
FELDMAN,42
FELDMANN,37
FELKER,75
FENECH,199
FICHTER,10
FIGUEROA,417
FINKELSTEIN,524
FINNEGAN,5
FINNEY,390
FISCHIETTO,39
FITZGERALD,81
FITZPATRICK,344
FLEISCHER,31
FLEMING,6
FLETCHER,40
FLEURENCE,4
FOKSINSKI,8
FONTANEZ,408
FORNI,2
FORRESTER,49
FOSTER,42
FOWLER,1
FRANCO,3
FRANKLIN,21
FREDELL,161
FREELAND,4
FREEMAN,5
FRICCHIONE,28
FROMSTEIN,83
FUKA,2
FULDAUER,18
FULMER,2
FUNK,10
FURUKA,385
FURUKAWA,190
GAINES,113
GAINEY,152
GALANTI,11
GALDAMEZ,422
GALVIN,93
GANDY,1
GAO,7
GARCIA,16
GARNER,242
GARUFI,5
GELFOND,528
GENDRON,65
GENSMER,336
GENTRY,123
GERWIN,1664
GEYER,80
GHAFFARIAN,5
GIAMMARELLA,27
GILDEA,478
GILMORE,5
GILTNER,38
GINGRICH,296
GINS,140
GIRO,352
GLENN,4
GLISSON,2
GODDARD,1376
GOHEL,6
GOHLKE,9
GOLDENSOHN,50
GOLDSBY,9
GOLDSTEIN,177
GONSALVES,2
GONZALEZ,1994
GOOD,225
GOODHUE,1338
GORDON,3
GRAY,20
GREBIN,1
GRECO,29
GRECOBYRNE,24
GREEN,12
GREENSPAN,1246
GRIFFIN,126
GRISHAM,14
GROSSNICKLAUS,55
GROUM,771
GROVE,632
GUDINO,43
GUY,1
HA,3205
HAGGRAY,279
HALL,2706
HALLISEY,35
HALTON,18
HAMLETT,76
HAMMERSCHMIDT,186
HANDA,34
HANEY,9
HANSEN,219
HAQ,41
HARDY,1
HARLETH,11
HARLEY,185
HARNLY,215
HARRINGTON,574
HARRIS,462
HART,2676
HARU,16
HARVEY,2871
HASSETT,459
HASSETT ISABELLA,106
HATCHER,9
HAUGH,968
HAYASHI-SMITH,29
HAYES,9
HEALY,172
HEBBALE,326
HECMANCZUK,9298
HECTOR-BRUDER,466
HENAGAN,43
HENDERSON,141
HENNESSEY,32
HENRY,112
HEPLER,7
HERHOLD,5
HICKEY,36
HIETPAS,30
HIGGS,14
HILL,60
HIMESMULL,1
HINES,15
HO,266
HOANG,797
HOCHMAN,523
HOEF,32
HOLBROOK,2
HOLLOWAY,2
HOLSTON,112
HOLT,27
HOOKS,87
HOOVER,1
HOPKINSWARD,24
HORN,476
HORNBACHER,376
HORNCASTLE,1173
HORTON,285
HOURANI,1461
HOWARD-BACIFE,13
HOWAYECK,23
HU,15
HUDGINS,23
HUGHES,1566
HUNT,99
INFURCHIA,18
ISEN,1541
JACKSON,4
JACOB,249
JAEGER,3
JAMES,1134
JAMISON,9
JENKINS,277
JERMSTAD,4
JOHNSON,11570
JOHNSTON,33
JONES,27526
JOSEPH,1506
JOYCE,1728
JOZEFOWICZ,190
JUAREZ,6341
KALBAUGH,10
KARA-PABANI,5
KATZ,123
KEATING,192
KEEFFE,4
KEENE,6
KELLER,62
KELLOGG,18
KELLY,33
KELSEY,26
KENDALL,39
KERN,114
KERRIGAN,107
KHAN,3426
KIENTZLE,1460
KIKUKAWA,13
KIM,287
KING JR.,3
KING-NICUDEMUS,266
KITCHENS,12
KLEMPIC,510
KLETZIEN,38
KNIGHT,2213
KOLAJA,1
KOLAKOWSKI,150
KOSAI,29
KRAHEL,1
KRAKOWIAK,34
KRISHNASWAMY,153
KRUPKIN,348
KUCK,13
KUHL,2
KUSESKI,22
KWAK,170
LABITZKY,47
LAINEZ,1
LAM,9
LAMB,65
LAMBERT,41
LAMM,30
LANG,601
LANGNER,15
LAPP,1
LARANCE,824
LARSEN,814
LATINIS,64
