"APPT_MONTH","POTUS","Staff","Tourist"
"2009-01",14,174,0
"2009-02",79,320,7
"2009-03",143,673,63
"2009-04",42,512,74
"2009-05",121,537,77
"2009-06",135,526,123
"2009-07",56,554,144
"2009-08",40,280,123
"2009-09",344,9367,16818
"2009-10",6360,20577,47277
"2009-11",5288,19241,30049
"2009-12",9813,20677,87751
"2010-01",1828,16447,31661
"2010-02",1961,14833,34896
"2010-03",3264,21448,68635
"2010-04",3443,21902,57433
"2010-05",10491,25670,52618
"2010-06",9388,21843,73046
"2010-07",6996,22079,63346
"2010-08",1443,13193,67477
"2010-09",2486,20683,34243
"2010-10",2503,22262,60416
"2010-11",1234,17933,38117
"2010-12",12239,20965,91691
"2011-01",2943,17792,17863
"2011-02",2687,29631,19573
"2011-03",3302,20469,64848
"2011-04",1498,20162,60728
"2011-05",4207,20903,63830
"2011-06",11012,22566,62477
"2011-07",3653,24992,69168
"2011-08",1256,14759,63994
"2011-09",2145,20594,49973
"2011-10",4584,21970,58949
"2011-11",3119,20008,38024
"2011-12",11294,23021,74329
"2012-01",2922,17571,21278
"2012-02",2859,21320,28091
"2012-03",10321,26701,59961
"2012-04",3702,28225,47422
"2012-05",4308,24628,53820
"2012-06",8647,26995,65003
"2012-07",3168,25715,61077
"2012-08",1099,18723,62786
"2012-09",2039,21642,40579
"2012-10",46,19381,52313
"2012-11",2381,17477,39166
"2012-12",13684,23965,72342
"2013-01",2766,20894,25737
"2013-02",2723,22252,31334
"2013-03",3931,20317,27370
"2013-04",5642,20341,712
"2013-05",2968,16819,0
"2013-06",3827,18077,0
"2013-07",8789,16890,126
"2013-08",2403,13076,0
"2013-09",2051,16972,0
"2013-10",5201,10203,102
"2013-11",2710,17760,17929
"2013-12",14767,24638,55925
"2014-01",1895,20124,17112
"2014-02",10850,21045,18530
"2014-03",3140,25303,46053
"2014-04",4956,29758,34118
"2014-05",5806,28411,46768
"2014-06",4398,27019,42811
"2014-07",5258,28108,53481
"2014-08",1103,19098,48368
"2014-09",8117,28237,30419
