"No","Field","Min","Q1","Median","Mean","Q3","Max","N","Missing","NUnique"
"1","NAMELAST","1","5","6","6.586","8","32","4177710","0","356420"
"2","NAMEFIRST","1","5","6","6.006","7","31","4177710","0","159214"
"3","NAMEMID","1","1","1","1.001","1","18","3373933","803777","341"
"4","UIN","5","6","6","6","6","6","4157444","20266","100038"
"5","BDGNBR","1","1","5","3.861","5","7","945518","3232192","11461"
"6","Type.of.Access","2","2","2","2","2","2","4119174","58536","5"
"7","TOA","2","2","2","5.847","2","19","4177710","0","428304"
"8","POA","2","5","5","4.891","5","6","945487","3232223","45"
"9","TOD","2","2","2","4.325","2","19","4177710","0","263841"
"10","POD","2","2","3","3.091","4","13","482212","3695498","41"
"11","APPT_MADE_DATE","2","19","19","18.92","19","19","4177710","0","127348"
"12","APPT_START_DATE","10","19","19","19","19","19","4177710","0","110078"
"13","APPT_END_DATE","2","19","19","18.94","19","19","4177710","0","3450"
"14","APPT_CANCEL_DATE","2","2","2","2.117","2","19","4177710","0","3214"
"15","Total_People","1","2","3","2.522","3","4","4177710","0","660"
"16","LAST_UPDATEDBY","2","2","2","2","2","2","4157459","20251","426"
"17","POST","3","3","3","3","3","3","4157461","20249","2"
"18","LastEntryDate","2","19","19","18.92","19","19","4177710","0","366408"
"19","TERMINAL_SUFFIX","2","2","2","2","2","2","4157461","20249","426"
"20","visitee_namelast","1","6","6","6.125","6","28","3970676","207034","7577"
"21","visitee_namefirst","1","6","8","7.144","8","20","4048398","129312","4005"
"22","MEETING_LOC","2","2","2","2.434","2","10","4177710","0","9"
"23","MEETING_ROOM","1","9","9","7.729","9","18","4157432","20278","3889"
"24","CALLER_NAME_LAST","1","6","6","6.336","6","17","4157104","20606","2307"
"25","CALLER_NAME_FIRST","1","7","8","7.258","8","12","4148193","29517","1226"
"26","CALLER_ROOM","1","9","9","8.468","9","10","42993","4134717","288"
"27","Description","1","10","10","13.25","11","212","3034983","1142727","14483"
"28","RELEASE_DATE","19","19","19","19","19","19","4177710","0","64"
"29","NAME","5","14","15","15.4","17","63","4177710","0","2715722"
"30","visitee","1","13","15","13.73","15","36","4177710","0","15372"
"31","CALLER","1","15","15","14.51","15","28","4177710","0","3723"
"32","LOCATION","3","12","12","11.51","12","23","4177710","0","4240"
