"UIN","Count"
"",28819
"u83535",5732
"u51535",5730
"u40820",5680
"u83706",5358
"u97987",5275
"u79851",5039
"u37209",4755
"u06935",4687
"u94323",4217
"allapp",4174
"u13645",4106
"u47841",3999
"german",3999
"u10340",3840
"u05664",3808
"inaug1",3736
"u17731",3632
"u20020",3579
"u51681",3578
"u25741",3277
"u15161",3273
"starmx",3268
"u07979",3246
"u98231",3074
"u63476",2840
"open09",2838
"u21861",2822
"halown",2667
"u50386",2587
"u62451",2502
"open07",2489
"u64433",2438
"open11",2434
"sa1124",2111
"u13179",2033
"u63985",1992
"open10",1945
"u25688",1918
"u14105",1907
"u16786",1881
"u97417",1843
"u26018",1837
"u61761",1779
"open04",1770
"u64798",1759
"open14",1748
"u16685",1699
"u27891",1604
"u16492",1577
"u07210",1539
"dcfdm2",1525
"u91727",1372
"u51791",1368
"u54728",1304
"u08555",1273
"u63301",1268
"u20074",1238
"u61305",1236
"u21873",1230
"u39656",1201
"u87897",1197
"u86401",1197
"u88270",1193
"u61312",1179
"u48801",1167
"u61731",1138
"u99070",1123
"u30150",1066
"trick2",1066
"u87908",1057
"u11286",1049
"u62294",1041
"u29229",1038
"u88817",1033
"u02820",1030
"u51548",1020
"u41872",1018
"u90517",1013
"treat3",1011
"u56348",1004
"u39104",990
"u14998",989
"u41223",982
"u44000",972
"u32132",961
"u41909",933
"u63837",922
"u38862",922
"u64533",921
"u89590",918
"u71618",918
"u60284",915
"u88286",914
"intrn6",905
"treat1",899
"u50685",889
"u36960",885
"u37730",883
"u65370",877
"u00540",877
"u57746",875
"u60393",870
"u96287",866
"u37827",866
"u47930",864
"u45549",864
"u00916",861
"u24524",858
"u61610",857
"u51792",854
"u68984",847
"u98811",842
"u82673",841
"u55399",834
"u57629",820
"u28172",820
"u36218",817
"u65224",813
"u41652",810
"u94514",806
"u57303",804
"u64006",802
"u27878",801
"u65210",799
"u42519",798
"u99048",797
"u60035",797
"u63882",787
"u55670",786
"u83252",785
"u52760",784
"u57784",783
"u53020",781
"u40245",781
"u56474",780
"u45655",780
"u59801",778
"u28168",777
"u46983",776
"u22205",775
"u71048",772
"u15065",771
"u40932",769
"u53106",760
"u89271",759
"u42834",757
"u58472",755
"u06233",755
"u13226",750
"u56776",744
"u72372",743
"u45849",743
"u36304",742
"u41743",741
"u51466",739
"u50404",735
"u85859",732
"u06586",732
"u88800",730
"u22880",730
"u18365",728
"u40401",726
"u66059",724
"u45004",724
"u88574",723
"u87837",720
"u86451",719
"u59551",719
"u56026",718
"u91761",717
"u60332",717
"u10715",715
"u66223",712
"u36411",712
"u36257",712
"u51498",711
"u45256",710
"u38891",710
"u20515",710
"u98806",709
"u46264",709
"u66207",707
"u62083",706
"u12619",706
"u44827",705
"u16784",705
"u61666",704
"u24452",704
"u01362",702
"u08455",701
"u62604",700
"u51838",700
"u89273",699
"u74726",699
"u65276",699
"u35802",697
"u51450",694
"u92583",693
"u65259",693
"u51103",693
"u38095",693
"u31913",690
"u32463",689
"u29440",689
"u68969",688
"u32119",688
"u27173",688
"u52771",687
"u17830",685
"u61736",683
"u98831",678
"u63683",678
"u28171",677
"u01461",677
"u41219",676
"u33388",676
"u65167",675
"u49112",675
"u17024",673
"u81698",672
"u78462",671
"u35735",671
"u59979",670
"u86160",669
"u29247",667
"u15086",667
"u69347",666
"u07736",666
"u64456",665
"u58601",665
"u51146",664
"u51135",664
"u00906",664
"u93788",663
"u48363",663
"u44652",662
"u85554",661
"u64794",661
"u44313",660
"u90126",659
"u35700",659
"u32836",659
"u31028",659
"u04686",659
"u94961",658
"u41593",658
"u95935",656
"u87309",656
"u84307",654
"u27940",654
"u05679",654
"u39563",653
"u22678",653
"u04390",653
"u87500",652
"u64460",652
"u40003",651
"u10263",651
"u20921",650
"u57633",649
"u18212",649
"u14843",649
"u97920",648
"u83396",648
"u52875",648
"u48279",648
"u81053",647
"u24635",647
"u68338",646
"u66005",646
"u66001",646
"u61682",646
"u79387",645
"u67695",645
"u64470",645
"u04084",645
"u62981",644
"u98773",642
"u87301",642
"u66564",642
"u35025",642
"u85512",641
"u85443",641
"u50633",641
"u21356",641
"u61725",640
"u22227",639
"u16032",639
"u80450",638
"u68476",638
"u56573",638
"u12969",638
"u91956",636
"u90645",636
"u58479",636
"u32934",636
"u12265",636
"u43129",635
"u12848",635
"u86448",634
"u86360",634
"u82921",634
"u53983",634
"u24536",633
"u44759",632
"u67749",631
"u59855",631
"u51860",631
"u37863",631
"u34642",631
"u06082",631
"u90289",630
"u17892",630
"u11505",629
"u90146",627
"u67591",627
"u37013",627
"u15154",627
"u64873",626
"u53506",626
"u32104",626
"u97989",625
"u83274",625
"u67402",625
"u50212",625
"u49897",625
"u33547",625
"u08490",625
"u35953",624
"u12759",624
"u68275",623
"u57399",623
"u36071",622
"u31953",622
"u90158",621
"u80660",621
"u09932",621
"u17829",620
"u91588",619
"u68532",619
"u56112",619
"u37981",619
"u23130",618
"u10347",618
"u98237",617
"u13231",617
"u78131",616
"u40145",616
"u28099",616
"u88583",615
"u20978",615
"u57812",614
"u37315",614
"u89564",613
"u63979",613
"u14842",613
"u53318",612
"u35552",612
"u07679",612
"u03107",612
"u81312",611
"u68465",611
"u24287",611
"u32466",610
"u17890",610
"u17871",609
"u99983",608
"u68564",607
"u65628",607
"u65130",607
"u22225",607
"u65961",605
"u55190",605
"u95045",604
"u24526",604
"u71245",603
"u58456",603
"u53483",603
"u51808",603
"u66327",602
"u61397",602
"u75187",601
"u59665",601
"u57950",601
"u51201",601
"u35518",601
"u85868",600
"u74716",600
"u63196",600
"u99261",599
"u56079",599
"u27107",599
"u53529",598
"u20949",598
"u88816",597
"u65119",597
"u62358",597
"u57225",596
"u09985",596
"u00010",596
"u82729",595
"u37375",595
"u25057",595
"u83660",594
"u40399",594
"u39528",594
"u10366",594
"u10330",594
"u00011",594
"u12450",593
"u30517",592
"u04772",592
"u95822",591
"u47950",591
"u35522",591
"u27620",591
"u90510",590
"u61756",590
"u49896",590
"u05854",590
"u81682",589
"u61441",589
"u05776",589
"u62264",588
"u59024",588
"u36587",588
"u04798",588
"u99156",587
"u05826",587
"u90157",586
"u68983",586
"u87512",585
"u85254",585
"u45312",584
"u36212",583
"u90650",582
"u51362",582
"u51092",582
"u35532",582
"u70458",581
"u44835",581
"u21049",581
"u08543",580
"u88285",579
"u86025",579
"u59456",579
"u23237",579
"u86359",577
"u27162",577
"u79661",576
"u70456",576
"u65454",576
"u37204",576
"u34382",576
"u16745",576
"u00018",576
"u00016",576
"u68048",575
"u62335",575
"u51506",575
"u64806",574
"u60028",574
"u34053",574
"u04450",574
"u00502",574
"u36256",573
"u27164",573
"u64887",572
"u87210",571
"u90485",570
"u79388",570
"u65193",570
"u36226",570
"u77949",569
"u04226",569
"u24437",568
"u64262",567
"u01429",567
"u62338",566
"u29504",566
"u15158",566
"u65937",565
"u52836",565
"u37210",565
"u83971",564
"u64430",564
"u38440",564
"u01463",564
"u84839",563
"u79940",563
"u59429",563
"u57744",563
"u98576",562
"u65555",562
"u63867",562
"u63139",562
"u50166",562
"u28737",562
"u97525",561
"u85517",561
"u81832",561
"u51231",561
"u22543",561
"u98412",560
"u94354",560
"u86034",560
"u54623",560
"u48714",560
"u39359",560
"u00019",560
"u77054",559
"u76955",559
"u64310",559
"u49757",559
"u36149",559
"u12613",559
"u80119",558
"u24290",558
"u77397",557
"u66707",557
"u39478",557
"u36255",557
"u29517",557
"u38847",556
"u00023",556
"u98782",555
"u85521",555
"u79464",555
"u77392",555
"u74560",555
"u63147",555
"u52175",555
"u15527",555
"u93853",554
"u90358",554
"u82082",554
"u66622",554
"u01500",554
"u83132",553
"u82264",553
"u75636",553
"u54978",553
"u45311",553
"u39835",553
"u39112",553
"u27411",553
"u11602",553
"u51096",552
"u33969",552
"u33843",551
"u33000",551
"u13445",551
"u11102",551
"u96526",550
"u87460",550
"u78614",550
"u57654",549
"u07340",549
"u01476",549
"u86313",548
"u56264",547
"u26643",547
"u56182",546
"u02798",546
"u35430",545
"u11092",545
"u90977",544
"u61774",544
"u54519",544
"u48432",544
"u48814",543
"u36013",543
"u20463",543
"u35352",542
"u07749",542
"u55274",541
"u16679",541
"u76280",540
"u18198",540
"u12847",539
"u83185",538
"u37625",538
"u23135",538
"u20969",538
"u13498",538
"u07715",538
"u98450",537
"u79210",537
"u42141",537
"u15147",537
"u13853",537
"u48828",536
"u28069",536
"u19636",536
"u59875",535
"u57684",535
"u43896",535
"u00964",535
"u99210",534
"u91984",534
"u34522",534
"u24364",534
"u15552",534
"u15149",534
"u90740",533
"u75947",533
"u64457",533
"u32114",533
"u27097",533
"u09907",533
"u52857",532
"u27976",532
"u12508",532
"u03285",532
"u65474",531
"u49380",531
"u74572",530
"u56625",530
"u09956",530
"u94352",529
"u90440",529
"u51494",529
"u94702",528
"u65200",528
"u64411",528
"u23134",528
"u07567",528
"u98424",527
"u76951",527
"u59840",527
"u87094",526
"u78326",526
"u17055",526
"u59973",525
"u55484",525
"u02958",525
"u17054",524
"u94401",523
"u64871",523
"u42216",523
"u09925",523
"u67323",522
"u55218",522
"u87299",521
"u86038",521
"u47897",521
"u08491",521
"u05672",521
"u00946",521
"u91770",520
"u64151",520
"u16145",520
"u02731",520
"u74023",519
"u55601",519
"u13182",519
"u59833",518
"u74146",517
"u66007",517
"u53441",516
"u03084",516
"u59341",515
"u34590",515
"u28457",515
"u81321",514
"u06008",514
"u88918",513
"u66433",513
"u14168",513
"u96886",512
"u78797",512
"u12721",512
"u97967",511
"u84785",511
"u63421",511
"u60458",511
"u59482",511
"u34352",511
"u31021",511
"u65774",510
"u59839",510
"u44380",510
"u21750",510
"u09112",510
"u64826",509
"u38297",509
"u81837",508
"u65165",508
"u58228",508
"u55709",508
"u53292",508
"u43278",508
"u39379",508
"u35734",507
"u27236",507
"u37846",506
"u97565",505
"u95974",505
"u82143",505
"u52254",505
"u36027",505
"u27853",505
"u01728",505
"u67559",504
"u03965",504
"u66273",503
"u53145",503
"u19172",503
"u44891",502
"u20447",502
"u14546",501
"u76956",500
"u70058",499
"u28160",499
"u86157",498
"u86041",498
"u75367",498
"u65652",498
"u12260",498
"u90681",497
"u86040",497
"u91759",496
"u38023",496
"u26884",496
"u03103",496
"u59829",495
"u52016",495
"u05984",495
"u97991",494
"u93671",494
"u56111",494
"u35858",494
"u59337",493
"u54564",493
"u18810",493
"u00501",493
"u93126",492
"u51526",492
"u43899",491
"u16299",491
"u26463",490
"u20983",490
"u85619",489
"u58975",489
"u34526",489
"u35099",488
"u01926",487
"u52173",486
"u14375",486
"u97915",485
"u73407",485
"u69116",485
"u39883",485
"u32841",485
"u95871",484
"u91884",484
"u91686",484
"u81114",484
"u61403",484
"u37458",484
"u79018",483
"u68530",483
"u20876",483
"u16400",483
"u92162",482
"u83081",482
"u78424",482
"u68670",482
"u34662",482
"u15614",482
"u72624",481
"u14155",481
"u04341",481
"u03784",481
"u98588",480
"u74710",480
"u66229",480
"u44298",480
"u37787",480
"u86346",479
"u11028",478
"u55378",477
"u39490",477
"u07640",477
"u03994",477
"u27205",476
"u08539",476
"u68147",475
"u62214",475
"u32183",475
"u93558",474
"u92980",474
"u66324",474
"u62478",474
