"BDGNBR","Count"
"",4530568
"0",423354
"83990",1188
"77107",1146
"77616",1129
"74985",1123
"83928",1085
"82036",1048
"77609",1034
"90182",1033
"88275",989
"87153",979
"91897",936
"90161",933
"91114",928
"91126",914
"91995",906
"82813",906
"77613",905
"87135",871
"90173",869
"87188",866
"95514",851
"95311",851
"91157",844
"95986",828
"95291",827
"77647",812
"90168",810
"95321",798
"83948",797
"95548",796
"83926",788
"95519",786
"95545",782
"87186",781
"91129",776
"92974",767
"95324",765
"81750",753
"95336",742
"73789",736
"98112",735
"84013",731
"98118",728
"77601",723
"90187",722
"98071",721
"87027",721
"77375",718
"87155",704
"73986",702
"99139",701
"98080",701
"95334",695
"95315",692
"73815",689
"83982",688
"98076",683
"95314",681
"88791",678
"98095",677
"83927",675
"76600",674
"77585",672
"98114",671
"95331",669
"98585",665
"99965",659
"97743",659
"100023",659
"99917",657
"100825",652
"100347",648
"103196",644
"97189",643
"87147",642
"99931",639
"98113",639
"103223",639
"95337",636
"77764",632
"98221",631
"99927",630
"103832",629
"78710",627
"87176",626
"93304",624
"77830",624
"98618",623
"77467",621
"91021",619
"77607",619
"100140",619
"97082",618
"87146",617
"97977",616
"77767",616
"91581",615
"99142",614
"99113",614
"77561",613
"100717",610
"87037",609
"98086",608
"79147",607
"103411",607
"103203",605
"99617",604
"98139",602
"77547",602
"77582",601
"77566",601
"95503",600
"77579",596
"77693",595
"103441",594
"98111",592
"103417",592
"99516",590
"92969",590
"73380",587
"77617",584
"99964",583
"100330",583
"91136",580
"100170",580
"83988",578
"95512",577
"95328",577
"80663",577
"99535",576
"101390",576
"77603",575
"83977",573
"104122",573
"91127",572
"103831",571
"100165",571
"77815",570
"100153",569
"77614",568
"100169",567
"86335",566
"100392",565
"77690",564
"100671",564
"91100",562
"103218",562
"99234",561
"98098",561
"91121",561
"77795",561
"99596",560
"77727",560
"77695",560
"104118",559
"74371",558
"83633",557
"103422",557
"100396",556
"98230",554
"77611",554
"79882",553
"77702",552
"95528",551
"103442",548
"103404",548
"99942",546
"83947",546
"103427",546
"76293",545
"103161",545
"100648",545
"83980",544
"99590",542
"97707",542
"91887",541
"100161",541
"100147",540
"77656",539
"74047",539
"101317",539
"101394",538
"99153",537
"98580",537
"77841",537
"99010",536
"83929",536
"71701",535
"97709",534
"77673",534
"100477",534
"100020",534
"83957",532
"81023",531
"79881",530
"103409",529
"101230",528
"99926",525
"77977",525
"104027",524
"100131",524
"99515",523
"95322",523
"91167",523
"80881",523
"98545",522
"100073",522
"77813",521
"103807",521
"77804",519
"101358",519
"97357",517
"100081",517
"99914",516
"90170",516
"87817",516
"77735",515
"77665",515
"76502",515
"83950",514
"101375",513
"98158",512
"87025",512
"100280",512
"98089",510
"77728",510
"107983",510
"99662",509
"91154",509
"77831",509
"101719",509
"100491",509
"103228",508
"101720",508
"99235",505
"101254",505
"93020",503
"104217",503
"95307",502
"90175",502
"77675",502
"82113",501
"101245",501
"77644",500
"77567",500
"73357",500
"107997",500
"104042",500
"103185",500
"90148",499
"77678",499
"103795",499
"108007",498
"87142",497
"108010",497
"103408",497
"77625",495
"108000",495
"104040",495
"103440",495
"108028",494
"100848",494
"75529",493
"87178",492
"87156",492
"77821",492
"95290",491
"101353",491
"100043",491
"77808",490
"103825",490
"101403",490
"77445",489
"101251",489
"77554",488
"103198",488
"104157",487
"104057",487
"104219",486
"79836",485
"77724",485
"104143",485
"94716",484
"77560",484
"83973",483
"84011",482
"90921",481
"87145",481
"103898",481
"100038",481
"81396",479
"76499",479
"101260",479
"98067",477
"104222",477
"98637",475
"77700",475
"88701",474
"77577",474
"104020",474
"100465",474
"103918",473
"103226",473
"76209",472
"104163",472
"104154",472
"87177",471
"87165",471
"97708",470
"83958",469
"104032",469
"95501",468
"77557",468
"93039",467
"86577",467
"99011",466
"77740",466
"71728",466
"100000",466
"92975",464
"80874",464
"77606",464
"108019",464
"78248",463
"103424",463
"103165",463
"90044",462
"104051",462
"101389",462
"98606",461
"87139",461
"108015",461
"77598",460
"74918",460
"107990",460
"103413",460
"99932",459
"99589",459
"77694",459
"100075",459
"84747",458
"104039",458
"101236",458
"83925",457
"74113",456
"75896",454
"100128",453
"98631",452
"91107",452
"76497",452
"73175",452
"104066",452
"103230",452
"100464",452
"77533",451
"104225",451
"99152",450
"77395",450
"103403",450
"101238",450
"77634",449
"92703",447
"104223",447
"103894",447
"99622",446
"77543",446
"99598",445
"109414",445
"77095",444
"109461",444
"103187",444
"98472",443
"104063",443
"100168",443
"95527",442
"77620",442
"94843",441
"77803",441
"104071",441
"103920",441
"79827",440
"79374",440
"107992",440
"103891",440
"104124",439
"87179",437
"80883",437
"77736",437
"109338",436
"104070",435
"100411",435
"98064",434
"103445",434
"101384",434
"101359",434
"98161",433
"77570",433
"71708",433
"95319",432
"108029",432
"104056",432
"101722",432
"86646",429
"83986",429
"77741",429
"103833",428
"103234",428
"79337",427
"78026",427
"71288",427
"109309",426
"109285",426
"95303",425
"109322",425
"80875",423
"109304",423
"109310",421
"109279",421
"90160",420
"82123",420
"109425",420
"88996",419
"99489",418
"71804",418
"109330",417
"95332",416
"108034",416
"83943",414
"109299",414
"98633",413
"87913",413
"84492",412
"95532",411
"109364",411
"101348",411
"109365",410
"99665",409
"109447",409
"92954",408
"86585",408
"109332",408
"100157",408
"83923",407
"71803",407
"109289",407
"101247",407
"77812",406
"87038",405
"77559",405
"104065",405
"90190",404
"85351",404
"109401",404
"77753",403
"77745",403
"103174",403
"109437",402
"109386",402
"95350",401
"109282",401
"101371",401
"98851",400
"77806",400
"109435",400
"109273",400
"104214",400
"90193",399
"108031",399
"95509",398
"103439",398
"101278",398
"100016",398
"84552",397
"77672",397
"109411",397
"90627",396
"83954",396
"91119",395
"82558",395
"103815",395
"103419",395
"90152",394
"71730",393
"109306",393
"109412",392
"109385",392
"107982",392
"104213",392
"103189",392
"109443",391
"109393",391
"109382",391
"109267",391
"91133",390
"77278",390
"73973",390
"109372",390
"103231",389
"98483",388
"96322",388
"77809",388
"91896",387
"77709",387
"75885",387
"109290",387
"104058",387
"104034",387
"103200",386
"83983",385
"71727",385
"109294",385
"101258",384
"77583",383
"109456",383
"109321",383
"101397",383
"101228",383
"99958",381
"75628",381
"74864",381
"78197",380
"75675",380
"109421",380
"91988",379
"109430",379
"109362",379
"109269",379
"103903",379
"101261",379
"89669",378
"103205",378
"97356",376
"90834",376
"103421",376
"109317",374
"103819",374
"103406",374
"91180",373
"80880",373
"77827",373
"101244",373
"98229",372
"98605",371
"109284",371
"109266",371
"76456",370
"100469",370
"71798",367
"101392",367
"109374",366
"109331",366
"104025",366
"103901",366
"87486",365
"76355",365
"109446",365
"107649",365
"103889",365
"109392",364
"104164",363
"103828",363
"101366",363
"103407",362
"98351",361
"103914",361
"101252",361
"98476",360
"107996",360
"101253",360
"78646",359
"77776",359
"104153",359
"103917",359
"103191",359
"81052",358
"101363",358
"84987",357
"77721",357
"109328",357
"103928",357
"94668",356
"90154",356
"77593",356
"77205",356
"87187",355
"103792",355
"98987",353
"91101",353
"98593",352
"91162",352
"90831",352
"99154",350
"94640",350
"90178",350
"76761",350
"91151",349
"82011",349
"108013",349
"99939",348
"77752",348
"76496",348
"109466",348
"98430",347
"91886",347
"80150",346
"109276",346
"81068",345
"80668",345
"100301",345
"91014",344
"90149",344
"81768",344
"80934",344
"76593",344
"71702",344
"103436",344
"99136",343
"84795",343
"77928",343
"91109",342
"79875",342
"74236",342
"98408",341
"98105",341
"98817",340
"98108",340
"104036",340
"101231",340
"98354",339
"77747",339
"103911",339
"86508",338
"79524",338
"109312",338
"100018",338
"100077",337
"99401",336
"83946",336
"109302",336
"108024",336
"100675",336
"78185",335
"100138",335
"87051",334
"108011",334
"100083",334
"100021",334
"99928",333
"99698",333
"79819",333
"104023",333
"98073",332
"91902",332
"89416",332
"101356",332
"87141",331
"72195",330
"75531",329
"75045",329
"74777",329
"99455",328
"89895",328
"103233",328
"95301",327
"82127",327
"101378",326
"91884",325
"89386",325
"77691",325
"95323",324
"110820",324
"108023",324
"103221",324
"91152",323
"71891",323
"101399",323
"98609",322
"109327",322
"99934",321
"103824",321
"103220",321
"100019",321
"99149",320
"86584",320
"109295",320
"113222",319
"113213",319
"103822",319
"109420",318
"90158",317
"85669",317
"77746",317
"71775",317
"109450",317
"107995",317
"81943",316
"109342",316
"87134",315
"75194",315
"113231",315
"109438",315
"109305",315
"108014",315
"87478",314
"109396",314
"100429",314
"95536",313
"82150",313
"74697",313
"107367",313
"102961",313
"99579",311
"86862",311
"103236",311
"90198",310
"80688",310
"109442",310
"103444",310
"101264",310
"95341",309
"95060",309
"113200",309
"103219",309
"77657",308
"109339",308
"101269",308
"88563",307
"113082",307
"108025",307
"96782",306
"78835",306
"77771",306
"77760",306
"77586",306
"113195",306
"102940",306
"98588",305
"91983",305
"78797",305
"113233",305
"104142",305
"91894",304
"91103",304
"85073",304
"78586",304
"78188",304
"114283",304
"108018",304
"103224",304
"101373",304
"72099",303
"114183",303
"113234",303
"101385",303
"100345",303
"99935",302
"80002",302
"98096",301
"98115",300
"109387",300
"103900",300
"98575",299
"83952",299
"81710",299
"103927",299
"103926",299
"103921",299
"90613",298
"78828",298
"76508",298
"101270",298
"100614",298
"81408",297
"114200",297
"87152",296
"76126",296
"113223",296
"113186",296
"108020",296
"104158",296
"101372",296
"80377",295
"114484",295
"114462",295
"114281",295
"113210",295
"109459",295
"109318",295
"108035",295
"103181",295
"101250",295
"98110",294
"91104",294
"78833",294
"78796",294
"79871",293
"104144",293
"93628",292
"87164",292
"72692",292
"114476",292
"113174",292
"108030",292
"78054",291
"77729",291
"77568",291
"74992",291
"72756",291
"113182",291
"99984",290
"87190",290
"80687",290
"114186",290
"104393",290
"87109",289
"77592",289
"114553",289
"114403",289
"114204",289
"113085",289
"104160",289
"91139",288
"89840",288
"79793",288
"114535",288
"114207",288
"98279",287
"114178",287
"79955",286
"75286",286
"113235",286
"113183",286
"109370",286
"103810",286
"83791",285
"114229",285
"114202",285
"109326",285
"103814",285
"77674",284
"114464",284
"100163",284
"93133",283
"87193",283
"77811",283
"72423",283
"114260",283
"103791",283
"91893",282
"71958",282
"113187",282
"113172",282
"99522",281
"70086",281
"95320",280
"92583",280
"114481",280
"114463",280
"114280",280
"90897",279
"90853",279
"83058",279
"75492",279
"72234",279
"113198",279
"103809",279
"100005",279
"98635",278
"75023",278
"74916",278
"100692",278
"99151",277
"86813",277
"114534",277
"114466",277
"114258",277
"113229",277
"103803",277
"91131",276
"89064",276
"114438",276
"114180",276
"104162",276
"101275",276
"90174",275
"86143",275
"82768",275
"114584",275
"114282",275
"108004",275
"103904",275
"101382",275
"100040",275
"99950",274
"98063",274
"93289",274
"91454",274
"91161",274
"87169",274
"79689",274
"79042",274
"77801",274
"104067",274
"103823",274
"101266",274
"99953",273
"98581",273
"95308",273
"93832",273
"77406",273
"75759",273
"114279",273
"100682",273
"100442",273
"98645",272
"80122",272
"79835",272
"78217",272
"75279",272
"114414",272
"114287",272
"114197",272
"113192",272
"113189",272
"109402",272
"103402",272
"99981",271
"99198",271
"98793",271
"98672",271
"80279",271
"79826",271
"114473",271
"114209",271
"107369",271
"104064",271
"100164",271
"93462",270
"92678",270
"91153",270
"80267",270
"74842",270
"114277",270
"114232",270
"99975",269
"85105",269
"80670",269
"77666",269
"114276",269
"109451",269
"87775",268
"85046",268
"78509",268
"88878",267
"83970",267
"114575",267
"114516",267
"114442",267
"113216",267
"109429",267
"109316",267
"104426",267
"103912",267
"101725",267
"79804",266
"78262",266
"70061",266
"114332",266
"114231",266
"114176",266
"103817",266
"90837",265
"87039",265
"85288",265
"73826",265
"114431",265
"99358",264
"98554",264
"90003",264
"82251",264
"77631",264
"74014",264
"71410",264
"114505",264
"114307",264
"109378",264
"74140",263
"114533",263
"114503",263
"114460",263
"89797",262
"89785",262
"72422",262
"114508",262
"113220",262
"96817",261
"81476",261
"77335",261
"114510",261
"114297",261
"77744",260
"75714",260
"114566",260
"114555",260
"114445",260
"82893",259
"78233",259
"76498",259
"114539",259
"114496",259
"100133",259
"79789",258
"78293",258
"104234",258
"95316",257
"95309",257
"95079",257
"90702",257
"78671",257
"77478",257
"71935",257
"114578",257
"114461",257
"89318",256
"114592",256
"114308",256
"103186",256
"98081",255
"80916",255
"72389",255
"114452",255
"114451",255
"113218",255
"99973",254
"98815",254
"97099",254
"114581",254
"114485",254
"114285",254
"109445",254
"109283",254
"104224",254
"104150",254
"104047",254
"94064",253
"89981",253
"87847",253
"86769",253
"81275",253
"75003",253
"114598",253
"114411",253
"114409",253
"90203",252
"75267",252
"75248",252
"71789",252
"114576",252
"114396",252
"114304",252
"102739",252
"101405",252
"99957",251
"87035",251
"81552",251
"77833",251
"77799",251
"77629",251
"77624",251
"114580",251
"114524",251
"114490",251
"114407",251
"109406",251
"109398",251
"107988",251
"107986",251
"101233",251
"77575",250
"114551",250
"114538",250
"114421",250
"114203",250
"109367",250
"104046",250
"100126",250
"95338",249
"114443",249
"114317",249
"110735",249
"103915",249
"103410",249
"101345",249
"72345",248
"114498",248
"109448",248
"109329",248
"109307",248
"100145",248
"99664",247
"95506",247
"94850",247
"89434",247
"87848",247
"74835",247
"114577",247
"114491",247
"113185",247
"104148",247
"102901",247
"98107",246
"82523",246
"80653",246
"80585",246
"79866",246
"77750",246
"77654",246
"77581",246
"114310",246
"114208",246
"91993",245
"83385",245
"79874",245
"114567",245
"100634",245
"98020",244
"80667",244
"114433",244
"103905",244
"99523",243
"90191",243
"87149",243
"84929",243
"77823",243
"77636",243
"114559",243
"114550",243
"114515",243
"113221",243
"91258",242
"83236",242
"75138",242
"113188",242
"109277",242
"108008",242
"103897",242
"92071",241
"77671",241
"77580",241
"114600",241
"114573",241
"109407",241
"100149",241
"74927",240
"72160",240
"114309",240
"114199",240
"109439",240
"100822",240
"85010",239
"77562",239
"114230",239
"104052",239
"101365",239
"95229",238
"79794",238
"114175",238
"103443",238
"100125",238
"95278",237
"75536",237
"74832",237
"114410",237
"114305",237
"101272",237
"99392",236
"98092",236
"86872",236
"77824",236
"114292",236
"113173",236
"113081",236
"103405",236
"100676",236
"98555",235
"91981",235
"85032",235
"114561",235
"114527",235
"109311",235
"103931",235
"98742",234
"92564",234
"80642",234
"79945",234
"109373",234
"104218",234
"96783",233
"74785",233
"114424",233
"101355",233
"100277",233
"84914",232
"77825",232
"75180",232
"114405",232
"101764",232
"100824",232
"91132",231
"88413",231
"83853",231
"79859",231
"77600",231
"73104",231
"114425",231
"114174",231
"113190",231
"103885",231
"103448",231
"97971",230
"93417",230
"92966",230
"92808",230
"91247",230
"77723",230
"114419",230
"114397",230
"114191",230
"109366",230
"103241",230
"100686",230
"100627",230
"100327",230
"90159",229
"83803",229
"77619",229
"114416",229
"108027",229
"100022",229
"98566",228
"95256",228
"82167",228
"76164",228
"114565",228
"114422",228
"114167",228
"101318",228
"95302",227
"90836",227
"88948",227
"81287",227
"79787",227
"77551",227
"119538",227
"109453",227
"108009",227
"92720",226
"89805",226
"87380",226
"77886",226
"77800",226
"72233",226
"114436",226
"100444",226
"100143",226
"94361",225
"81844",225
"75913",225
"114530",225
"114483",225
"114456",225
"114418",225
"109413",225
"107985",225
"104048",225
"103423",225
"96086",224
"88699",224
"77802",224
"77743",224
"77737",224
"74946",224
"71848",224
"114536",224
"113228",224
"109315",224
"108224",224
"103804",224
"103194",224
"94469",223
"109297",223
"91105",222
"90189",222
"83865",222
"72231",222
"114526",222
"114315",222
"109444",222
"103420",222
"99384",221
"95271",221
"95245",221
"77987",221
"77810",221
"77390",221
"114596",221
"114423",221
"109449",221
"104233",221
"103426",221
"101271",221
"93918",220
"91986",220
"87597",220
"77641",220
"114406",220
"99949",219
"91123",219
"90911",219
"87042",219
"83729",219
"78174",219
"109415",219
"99676",218
"92967",218
"90303",218
"90242",218
"87470",218
"75296",218
"73203",218
"72019",218
"114513",218
"103435",218
"103415",218
"100670",218
"91128",217
"89295",217
"84916",217
"100006",217
"90156",216
"87159",216
"77648",216
"77643",216
"119403",216
"103446",216
"99936",215
"91996",215
"79989",215
"114572",215
"114500",215
"97248",214
"77628",214
"109395",214
"101267",214
"100162",214
"86137",213
"79847",213
"79763",213
"114486",213
"114289",213
"109286",213
"103208",213
"102945",213
"100561",213
"96315",212
"94541",212
"91992",212
"89671",212
"87348",212
"77773",212
"104221",212
"103193",212
"99791",211
"97341",211
"95262",211
"89772",211
"87599",211
"87161",211
"85847",211
"77618",211
"75587",211
"114507",211
"114275",211
"99537",210
"95300",210
"90177",210
"75262",210
"120460",210
"97894",209
"95304",209
"94589",209
"93474",209
"87166",209
"83626",209
"72158",209
"112329",209
"103238",209
"101396",209
"93788",208
"89050",208
"88868",208
"83924",208
"80635",208
"80270",208
"74882",208
"74059",208
"72532",208
"114170",208
"109463",208
"107989",208
"103206",208
"95504",207
"91138",207
"87591",207
"87143",207
"86895",207
"81718",207
"79796",207
"73589",207
"71851",207
"114290",207
"100587",207
"98522",206
"95544",206
"90578",206
"85071",206
"75076",206
"114190",206
"100132",206
"95530",205
"89250",205
"86930",205
"80006",205
"101362",205
"98093",204
"92128",204
"86856",204
"74998",204
"100594",204
"95674",203
"95235",203
"89799",203
"83933",203
"76592",203
"114455",203
"109422",203
"109300",203
"101316",203
"99416",202
"75507",202
"73798",202
"113197",202
"104146",202
"103919",202
"103902",202
"101387",202
"93895",201
"91755",201
"91268",201
"89326",201
"88875",201
"88870",201
"79386",201
"73541",201
"72279",201
"70130",201
"109369",201
"95534",200
"95279",200
"87928",200
"82297",200
"80032",200
"95261",199
"91890",199
"88947",199
"88871",199
"82673",199
"79805",199
"77590",199
"70374",199
"114179",199
"104156",199
"103434",199
"100917",199
"100158",199
"95312",198
"77633",198
"114172",198
"109274",198
"101285",198
"100942",198
"92963",197
"77446",197
"114472",197
"113080",197
"109303",197
"98503",196
"95511",196
"91168",196
