"POA","Count"
"",4530616
"d1s01",254940
"b0402",233876
"b0401",200449
"d1102",199318
"d1101",178411
"k101",69740
"d0101",63926
"vis01",59742
"a0401",54315
"a0101",48254
"tveb0",20624
"k0102",19578
"k01",17411
"a401",10702
"k102",4629
"sos",2423
"d11",2077
"vis02",1203
"sp2a0",1159
"k0101",1019
"d1t01",847
"d0102",834
"ppd",681
"d1t02",515
"waves",496
"d1t",455
"rm16a",392
"a0501",357
"g0401",316
"b1101",158
"e0101",152
"a0402",138
"d0301",119
"d3a01",114
"vis",69
"a01",67
"d0401",39
"k0501",26
"sp150",24
"a01 n",18
"k1 e0",17
"e0401",9
"k1",5
"a1",3
"sp170",2
"d03",2
"e1",1
"d0102 ",1
"a0128",1
