"POD","Count"
"",5375145
"d1s",161841
"k1",58766
"b0402",42461
"d4",40749
"d3",26108
"b4",25984
"a4",21478
"a05",20359
"d1s01",20154
"d1102",19359
"d1101",19180
"b0401",16071
"d03",14323
"a0101",13382
"a0401",11737
"b04",11241
"a5",11224
"a1",10493
"k101",9587
"a0501",9514
"d0101",9393
"d0401",8912
"d04",8056
"k01",5990
"a04",2339
"d0301",1813
"a401",1267
"k0102",811
"a01",665
"k102",600
"d1",510
"d3a01",390
"d0102",108
"e0101",68
"d11",62
"k0101",57
"k0501",29
"sp2a0",11
"3",9
"10/12/11 0:00",8
"a0402",3
"k1 e0",2
"d1t01",2
"d1 ",2
"a4 ",2
"ppd",1
"a0401 ",1
"10/5/11 0:00",1
"10/3/11 0:00",1
"10/13/11 0:00",1
