"APPT_END_DATE","Count"
"2016-07-04 23:59:00",11205
"2014-02-11 23:59:00",9439
"2012-03-14 23:59:00",9128
"2010-06-29 23:59:00",9036
"2010-12-18 23:59:00",8654
"2011-08-18 23:59:00",8587
"2016-03-10 23:59:00",8383
"2010-12-21 23:59:00",8199
"2010-12-22 23:59:00",8183
"2009-12-18 23:59:00",8071
"2012-12-19 23:59:00",8016
"2016-05-13 23:59:00",7941
"2015-04-28 23:59:00",7936
"2010-12-11 23:59:00",7873
"2010-06-18 23:59:00",7793
"2010-12-20 23:59:00",7675
"2012-12-22 23:59:00",7528
"2012-12-15 23:59:00",7521
"2010-03-17 23:59:00",7444
"2012-12-21 23:59:00",7438
"2010-12-04 23:59:00",7426
"2011-12-17 23:59:00",7419
"2009-12-23 23:59:00",7333
"2011-10-13 23:59:00",7331
"2010-12-23 23:59:00",7299
"2013-12-07 23:59:00",7293
"2010-06-15 23:59:00",7231
"2012-12-08 23:59:00",7190
"2012-12-01 23:59:00",7172
"2016-08-02 23:59:00",7080
"2013-12-21 23:59:00",7055
"2009-12-08 23:59:00",7018
"2011-12-22 23:59:00",7008
"2013-12-14 23:59:00",6986
"2011-12-20 23:59:00",6943
"2012-06-05 23:59:00",6864
"2011-12-21 23:59:00",6847
"2011-12-10 23:59:00",6793
"2015-12-05 23:59:00",6785
"2010-12-08 23:59:00",6735
"2011-12-03 23:59:00",6707
"2014-07-04 23:59:00",6686
"2011-03-11 23:59:00",6595
"2010-12-03 23:59:00",6557
"2009-12-17 23:59:00",6545
"2011-12-06 23:59:00",6542
"2015-07-04 23:59:00",6528
"2010-05-19 23:00:00",6508
"2011-06-07 23:59:00",6471
"2014-12-13 23:59:00",6467
"2015-12-08 23:59:00",6454
"2010-06-17 23:59:00",6449
"2010-06-16 23:59:00",6434
"2015-12-17 23:59:00",6420
"2011-09-08 23:59:00",6390
"2011-12-19 23:59:00",6364
"2015-12-19 23:59:00",6350
"2014-12-20 23:59:00",6251
"2014-12-06 23:59:00",6234
"2009-12-11 23:59:00",6233
"2010-08-28 23:59:00",6179
"2009-12-09 23:59:00",6157
