"APPT_CANCEL_DATE","Count"
"2016-07-04 15:13:00",5664
"2016-07-04 15:56:00",4457
"2016-05-12 19:14:00",4407
"2010-06-29 15:31:00",1901
"2010-03-16 00:00:00",1196
"2016-09-29 06:23:00",781
"2016-05-12 19:16:00",717
"2012-10-23 14:43:00",623
"2011-11-07 15:42:00",597
"2010-03-22 00:00:00",385
"2011-12-13 19:10:00",383
"2011-01-08 08:33:00",340
"2010-06-02 14:19:00",328
"2010-06-03 16:46:00",310
"2009-09-25 07:13:00",299
"2012-10-23 14:42:00",297
"2010-06-17 08:06:00",289
"2011-10-26 17:13:00",287
"2011-12-14 16:48:00",279
"2010-06-02 14:16:00",278
"2011-12-14 16:31:00",276
"2010-06-17 08:20:00",276
"2012-10-23 14:44:00",275
"2014-04-09 19:17:00",274
"2014-11-06 13:56:00",273
"2014-11-06 14:14:00",272
"2012-10-23 14:41:00",253
"2016-01-06 09:44:00",250
"2014-04-04 17:53:00",250
"2012-10-11 13:51:00",250
"2016-01-06 09:46:00",249
"2012-12-18 13:40:00",249
"2011-10-12 12:08:00",247
"2010-09-15 18:05:00",240
"2010-09-15 18:02:00",237
"2010-05-07 17:01:00",237
"2010-06-17 08:13:00",234
"2010-09-15 18:04:00",230
"2010-10-04 13:13:00",227
"2012-12-11 15:27:00",213
"2010-12-07 10:07:00",199
"2011-05-09 11:58:00",195
"2010-07-06 14:08:00",194
"2013-03-05 14:07:00",193
"2010-07-21 06:32:00",192
"2012-01-04 18:48:00",184
"2016-09-28 15:59:00",183
"2010-06-01 17:59:00",181
"2013-04-19 17:00:00",175
"2015-11-25 15:41:00",174
"2015-07-01 14:15:00",169
"2010-10-26 15:39:00",166
"2015-05-20 15:58:00",165
"2015-05-07 08:54:00",165
"2011-10-12 09:16:00",159
"2011-10-12 09:15:00",159
"2016-06-10 09:16:00",158
"2010-05-13 11:10:00",158
"2011-11-01 13:07:00",157
"2010-09-15 18:01:00",155
"2010-12-03 17:41:00",151
"2015-11-25 15:39:00",150
"2010-05-10 11:49:00",147
