"Total_People","Count"
"1",286235
"6",224103
"2",197345
"4",181107
"3",160584
"5",151235
"275",137129
"274",95699
"270",86433
"276",72963
"273",70785
"272",68623
"7",65767
"271",64620
"269",56604
"8",50093
"268",48152
"277",45023
"300",40928
"9",40534
"10",40052
"278",34902
"267",34380
"11",33660
"350",33517
"266",33405
"12",33370
"349",32689
"344",30856
"250",30515
"265",30128
"13",29549
"279",28896
"14",28466
"20",27176
"15",26672
"347",26630
"299",26537
"298",26433
"263",25697
"280",25466
"348",25319
"264",25265
"346",25199
"19",25096
"16",25087
"281",24725
"17",24109
"18",23906
"297",23407
"345",22010
"341",21774
"285",20783
"352",20705
"283",20656
"342",20486
"249",20462
"296",20356
"351",20316
"343",19824
"284",19458
"21",18355
"282",17589
"262",17210
"339",16902
"259",16845
"260",16841
"295",16498
"22",16468
"294",16217
"25",15992
"50",15887
"248",15642
"257",15403
"340",15256
"290",15098
"261",15097
"23",14883
"301",14688
"255",14486
"27",14219
"24",14076
"247",13803
"293",13753
"353",13733
"355",13447
"30",13298
"289",12937
"302",12935
"288",12901
"292",12837
"304",12813
"354",12724
"287",12607
"291",12488
"26",12363
"286",12279
"28",12217
"29",12202
"338",12150
"258",12092
"337",11751
"40",11728
"253",11671
"254",11656
"251",11520
"335",11382
"32",11371
"246",10831
"256",10725
"252",10557
"31",10536
"33",10467
"336",10391
"245",10263
"305",9990
"334",9982
"333",9975
"303",9958
"49",9904
"0",9858
"34",9732
"36",9560
"35",9556
"41",9415
"43",9353
"332",9269
"320",9245
"37",9092
"239",9059
"358",8933
"315",8781
"325",8744
"38",8673
"47",8646
"45",8600
"214",8558
"223",8497
"150",8421
"234",8403
"39",8350
"149",8268
"237",8050
"244",8036
"242",8028
"48",8020
"44",7994
"241",7982
"42",7946
"314",7885
"329",7867
"310",7737
"140",7726
"306",7615
"330",7612
"331",7603
"316",7567
"51",7549
"321",7356
"243",7290
"317",7275
"328",7195
"322",7105
"148",7093
"172",7057
"307",7041
"198",6943
"208",6896
"46",6865
"221",6848
"220",6843
"184",6822
"360",6821
"213",6797
"357",6762
"356",6747
"225",6643
"147",6617
"236",6589
"183",6533
"203",6506
"100",6502
"224",6464
"179",6456
"53",6455
"238",6432
"61",6406
"318",6403
"219",6382
"319",6358
"226",6349
"199",6286
"123",6279
"312",6251
"240",6247
"59",6240
"313",6238
"230",6230
"155",6212
"212",6210
"80",6190
"364",6179
"197",6146
"175",6136
"138",6110
"58",6102
"173",6089
"60",6040
"182",6037
"130",6008
"200",5997
"158",5997
"142",5994
"185",5911
"204",5905
"56",5901
"136",5894
"227",5880
"168",5874
"195",5872
"210",5865
"178",5862
"189",5853
"55",5844
"129",5796
"231",5785
"363",5778
"54",5770
"52",5767
"174",5747
"190",5734
"359",5727
"5730",5712
"163",5710
"5707",5700
"5676",5664
"156",5638
"217",5636
"113",5635
"235",5631
"194",5616
"216",5611
"164",5601
"192",5593
"169",5571
"146",5562
"308",5561
"371",5557
"218",5519
"229",5518
"108",5512
"324",5499
"367",5485
"161",5473
"139",5467
"82",5462
"94",5448
"64",5445
"57",5435
"145",5396
"383",5390
"68",5377
"5354",5345
"222",5340
"69",5309
"99",5275
"86",5259
"5270",5259
"374",5259
"70",5253
"71",5252
"87",5251
"165",5208
"326",5203
"193",5203
"372",5191
"162",5185
"62",5172
"167",5165
"78",5158
"122",5156
"368",5144
"143",5143
"114",5122
"232",5098
"124",5097
"127",5085
"118",5085
"181",5064
"5038",5032
"75",5029
"74",5025
"186",5020
"152",5012
"207",4966
"205",4945
"215",4944
"65",4943
"144",4931
"170",4916
"171",4875
"157",4871
"121",4867
"2436",4863
"151",4857
"180",4855
"83",4829
"120",4824
"228",4820
"159",4798
"134",4791
"154",4782
"67",4770
"131",4740
"89",4727
"135",4726
"76",4722
"90",4694
"188",4684
"88",4677
"233",4667
"202",4642
"309",4621
"132",4619
"72",4611
"177",4602
"209",4598
"106",4573
"141",4519
"323",4508
"79",4504
"160",4486
"81",4467
"4460",4457
"110",4443
"116",4421
"77",4416
"4412",4407
"191",4394
"97",4380
"63",4366
"66",4363
"392",4339
"206",4325
"98",4310
"126",4285
"166",4265
"201",4263
"115",4258
"101",4244
"91",4236
"117",4217
"211",4214
"4229",4210
"102",4181
"4176",4174
"378",4157
"93",4151
"109",4135
"133",4132
"125",4119
"187",4109
"85",4100
"92",4095
"4092",4090
"111",4076
"176",4044
"311",4032
"4007",3999
"105",3984
"153",3976
"137",3967
"361",3964
"3959",3951
"73",3947
"395",3941
"394",3923
"119",3923
"327",3911
"196",3911
"112",3905
"386",3888
"1949",3886
"107",3853
"385",3835
"384",3833
"381",3804
"3819",3799
"379",3773
"103",3773
"128",3744
"3740",3736
"373",3720
"3692",3690
"96",3649
"365",3636
"3612",3601
"3568",3560
"3561",3553
"1751",3495
"366",3361
"419",3349
"95",3324
"435",3305
"3275",3268
"3260",3267
"425",3266
"3268",3265
"3262",3240
"104",3226
"3062",3063
"380",3040
"376",3004
"377",2939
"362",2891
"2841",2838
"396",2836
"2839",2830
"84",2816
"397",2814
"2819",2810
"390",2725
"446",2670
"2676",2667
"520",2588
"2594",2581
"369",2576
"2489",2489
"2486",2484
"405",2466
"408",2445
"407",2437
"404",2417
"406",2397
"399",2386
"398",2377
"389",2331
"388",2321
"382",2289
"375",2240
"370",2214
"391",2212
"548",2190
"2143",2111
"412",2057
"411",2053
"1025",2046
"504",2027
"403",2012
"658",1972
"387",1930
"483",1925
"1883",1882
"1851",1862
"1828",1825
"609",1820
"1823",1816
"448",1786
"1772",1770
"1771",1768
"1773",1765
"426",1749
"570",1708
"1705",1692
"421",1682
"420",1678
"453",1666
"414",1656
"393",1637
"409",1633
"540",1621
"539",1618
"402",1603
"401",1600
"533",1598
"1595",1596
"1571",1567
"1533",1525
"758",1516
"496",1486
"724",1444
"718",1435
"722",1433
"469",1406
"700",1399
"695",1384
"698",1376
"456",1367
"454",1362
"676",1357
"1369",1354
"436",1350
"1337",1337
"443",1331
"444",1328
"438",1310
"643",1286
"640",1283
"427",1280
"639",1278
"492",1277
"424",1267
"423",1266
"1270",1266
"631",1261
"630",1260
"1253",1250
"623",1245
"415",1243
"619",1237
"1237",1230
"410",1227
"614",1223
"1228",1223
"1186",1216
"1187",1212
"604",1207
"601",1200
"598",1195
"1183",1182
"1182",1182
"588",1176
"1170",1168
"581",1166
"1156",1155
"1150",1149
"564",1123
"542",1077
"1064",1066
"1031",1043
"522",1041
"515",1030
"516",1027
"513",1025
"508",1019
"1015",1011
"503",1007
"994",991
"497",990
"982",977
"979",976
"969",973
"476",950
"468",936
"467",933
"461",932
"464",926
"922",919
"460",918
"459",918
"458",916
"927",912
"452",900
"889",899
"900",898
"449",898
"894",894
"891",891
"565",885
"879",879
"439",879
"878",878
"440",878
"870",869
"861",860
"431",860
"428",855
"854",854
"429",854
"851",848
"1216",848
"844",842
"838",832
"413",824
"827",815
"793",809
"400",801
"800",799
"798",798
"792",792
"788",785
"784",784
"780",781
"779",778
"772",772
"773",769
"770",768
"766",765
"763",757
"760",756
