"visitee_namefirst","Count"
"visitors",3448988
"potus",223505
"",142565
"potus/flotus",54617
"michael",46506
"visitorsoffice",44018
"david",41392
"john",27452
"kyle",24269
"jeanne",21764
"flotus",20883
"paul",17550
"heather",17509
"matthew",16450
"sarah",15931
"jason",14515
"brian",14216
"ruth",14095
"olivia",14062
"karen",14044
"nancy",13930
"collin",13906
"ryan",13571
"james",13317
"alex",12748
"jonathan",12732
"jared",12493
"greg",12377
"andrew",12296
"robert",12269
"dan",12234
"max",12187
"elizabeth",12037
"victoria",11868
"julie",11840
"chris",11743
"lauren",11695
"caroline",10984
"jeff",10903
"stephanie",10751
"office",10673
"lisa",10531
"daniel",10428
"william",10218
"gautam",10142
"mark",10119
"chelsea",10100
"kevin",9787
"matt",9727
"richard",9624
"brad",9475
"jennifer",9282
"joshua",9203
"danielle",9175
"joseph",8970
"christopher",8826
"jessica",8761
"amy",8427
"melissa",8368
"benjamin",8123
"jon",7890
"steven",7767
"peter",7733
"sam",7721
"nate",7358
"mary",7324
"ben",7295
"tom",7187
"asher",7173
"ari",7036
"steve",6828
"scott",6762
"diana",6743
"jordan",6650
"katherine",6640
"eric",6511
"allison",6294
"doug",6284
"katharine",6235
"kalisha",6165
"ellie",6076
"natalie",5900
"ladini",5886
"gary",5820
"chad",5786
"todd",5758
"stephen",5664
"mike",5656
"tina",5632
"rory",5609
"adam",5601
"denis",5515
"patrick",5468
"ashley",5448
"bess",5439
"laura",5417
"douglas",5294
"maria",5199
"jeffrey",4827
"susan",4739
"hallie",4719
"andrea",4702
"emily",4646
"vpotus",4636
"samantha",4634
"gene",4621
"michelle",4616
"liza",4594
"quinn",4555
"elias",4539
"kelly",4504
"gayle",4482
"rob",4401
"seth",4393
"ronnie",4372
"roy",4300
"cecilia",4294
"tim",4219
"larry",4151
"charles",4108
"joe",4078
"erin",4069
"amanda",4057
"irene",3987
"megan",3971
"jj",3968
"shelly",3865
"vanessa",3861
"vivek",3819
"nicholas",3809
"teresa",3729
"lynn",3728
"thomas",3702
"timothy",3675
"edward",3632
"rumana",3607
"margaret",3599
"grant",3591
"shelley",3580
"valerie",3535
"rohan",3491
"jim",3483
"kathleen",3470
"charlie",3458
"zach",3401
"nathaniel",3401
"christine",3388
"nicole",3375
"elisabeth",3365
"fae",3352
"kareem",3338
"roberto",3319
"julia",3304
"phil",3267
"jeremy",3257
"evan",3235
"anne",3221
"dana",3214
"molly",3209
"danny",3204
"nick",3171
"dustin",3132
"paulette",3131
"angela",3123
"george",3119
"kimberly",3075
"katie",3066
"jerry",3056
"kathryn",3046
"beth",2999
"meg",2984
"taylor",2949
"jodi",2917
"brett",2900
"zealan",2891
"wayne",2889
"sally",2876
"gabe",2863
"kathy",2844
"anthony",2816
"aneesh",2809
"sean",2802
"dave",2783
"keith",2781
"kate",2758
"clare",2754
"philip",2747
"justin",2743
"ethan",2740
"bridget",2732
"groslyn",2720
"jesse",2680
"gregory",2660
"avra",2644
"patricia",2632
"raghavan",2613
"ashwani",2592
"claire",2549
"rick",2545
"gina",2539
"derek",2522
"kristen",2492
"claudia",2488
