"MEETING_ROOM","Count"
"residence",2703997
"ew tour",728410
"west wing",318998
"south lawn",182720
"state floo",162939
"sca",115479
"res",112749
"ww",112184
"south cour",89326
"430",63354
"474",42299
"350",40637
"37",38519
"east room",34362
"428",29383
"",28861
"bowling al",25032
"374",24291
"230a",24223
"208",24022
"130",19615
"10103",19198
"234",17231
"210",16821
"445",16533
"9104",15914
"ew",15108
"east wing",14264
"472",13580
"oval offic",13362
"roosevelt",12519
"82",12126
"476",11208
"430a",10997
"228",10950
"rose garde",10503
"230",10367
"ww 2nd flo",10218
"248",10089
"whsr",9795
"430abc",9732
"238",9505
"430bc",9475
"9116",9022
"115",8952
"460",8514
"430 b/c",7762
"226",7596
"8116",7236
"eeob 430",7135
"eeob 208",7094
"217",7072
"18",7056
"172",6849
"ew 100",6585
"s grounds",6548
"367",6448
"eeob 350",6190
"navy mess",6168
"530",6168
"s. grounds",6006
"442",5867
"7215",5830
"indian tre",5670
"212",5652
"eeob 474",5608
"eeob 217",5549
"100",5459
"truman bow",5148
"eeob/neob",5047
"178",5035
"south grou",4949
"mess",4819
"itr",4764
"233",4752
"north port",4568
"260",4539
"7236",4532
"wh mess",4454
"401",4364
"430 bc",4292
"223",4280
"3202",4187
"430b/c",4161
"210/212",4111
"412",4079
"485",4027
"112",3988
"170",3921
"360",3901
"ww lobby",3810
"ew100",3719
"176",3651
"state dini",3576
"s. court",3545
"441",3487
"39",3450
"3015",3397
"5200",3380
"97",3321
"160",3314
"state plac",3280
"430 abc",3268
"443",3257
"230b",3169
"276",3151
"88",3114
"5008",3013
"271",2953
"216",2915
"4208",2906
"6025",2870
"421",2864
"222",2857
"ww mess",2816
"591",2756
"205",2712
"6116",2707
"229",2691
"eeob 234",2682
"1",2682
"n grounds",2667
"111",2656
"ww/rooseve",2627
"450",2626
"ww/residen",2528
"situation",2517
"oval",2502
"180a",2492
"eeob 230a",2484
"eeob 210",2445
"2008",2397
"press lobb",2380
"east exec",2368
"6235",2330
"2020",2325
"ward room",2320
"236",2289
"330",2237
"274",2169
"307",2144
"457",2127
"s grnds",2115
"eeob",2056
"4000",2055
"316",2038
"southcourt",2007
"5235a",1979
"10025",1969
"3201",1963
"eeob 037",1948
"5104",1944
"207",1895
"405",1875
"166",1875
"252",1825
"107",1808
"492",1730
"279",1729
"114",1710
"243",1650
"246",1623
"east recep",1602
"5230",1592
"white hous",1560
"upper pres",1531
"dcfdm2",1525
"ww2fl",1521
"105",1520
"5235",1511
"eeob 428",1493
"ww//2nd fl",1475
"237",1452
"197",1445
"404",1437
"262",1417
"eeob sca",1410
"7002",1408
"8002",1375
"423",1360
"ww ground",1345
"291",1308
"382",1305
"10002",1290
"5203",1287
"2nd floor",1285
"s. lawn",1261
"ww 1st flo",1258
"2211",1258
"6225",1254
"497",1248
"326",1217
"9013",1209
"eeob 430ab",1207
"425",1206
"336",1204
"55",1203
"state room",1195
"ew 112",1183
"144",1179
"south port",1154
"200",1144
"ew 200",1141
"5208",1140
"124",1138
"ew 2fl",1121
"bowling",1116
"379",1110
"206",1106
"474/indian",1098
"430 a/b/c",1093
"45",1086
"neob/eeob",1079
"109",1071
"4221",1070
"202a",1050
"60",1038
"474 indian",1038
"454",1025
"ww/mess",1007
"312",1000
"439",970
"ww 2nd fl",965
"eeob 205",965
"7013",964
"eeob 430bc",961
"ww 1st fl",958
"94",948
"037/bowlin",946
"ew room 10",941
"101",933
"north lawn",930
"528",925
"ew 204",909
"280",906
"eeob 360",902
"412a",898
"10001",898
"135",894
"state floor",893
"5013",889
"386",885
"264",883
"8225",872
"25",870
"west exec",868
"eeob 172",868
"back lobby",868
"north driv",862
"whsr exec",860
"ew 206",856
"9026",852
"186",852
"110",849
"467",847
"ew206",835
"473",835
