"Description","Count"
"group tour",1907018
"",1824960
"ew tour must enter through sherman park",704279
"west wing tour",286493
"tours",259588
"group tours",217432
"holiday open house",31010
"the event is on the state floor",21619
"group tours**",17461
"ww tour",16800
"holiday reception",15939
"tour",11896
"f",10809
"open house",10631
"all appointee event",8265
"meeting",7262
"volunteer training",6983
"state arrival - mexico**",6508
"group tourchanged from ethan to tess per ethan",6181
"open houses",6056
"grp tour",5696
"duplicate appts guests cleared on appt u37209 and u36800. social office aware",5664
"group tour-changed from casey to chelsea per casey",5570
"holiday open hous",4973
"tours**",4645
"10am group tour",4622
"time change per requestor",4592
"ew tour must enter through sherman park dob reclear",4449
"dr",4158
"bowling alley",4093
"germany state arrival",3999
"group tour-changed from ethan to chelsea per ethan",3972
"ope part 1",3951
"list 1",3799
"inauguration open houses access list",3736
"bowling",3658
"july 4 celebration",3647
"group tourchanged from will to casey per will",3638
"group tour changed from jess to will per ethan",3576
"4th of july staff and guests",3553
"military honor guard",3512
"ew tour must enter through sherman park dob",3338
"marine band",3335
"9am group tours",3309
"10am - group tour",3277
"all appointee event list 1",3267
"group tour dob",2960
"marine one",2922
"8.30am group tour",2921
"group tourchanged from ethan to will per ethan",2773
"truman bowling alley",2674
"halloween event",2671
"7.30am group tours",2648
"guests for trick or treating on halloween",2581
"10am group tours",2550
"group tour**",2545
"tours - add on",2279
"ew tour must enter through sherman park name",2229
"11am group tours",2154
"ew tour must enter through sherman park name reclear",2136
"open house eop",2134
"general guests",2128
"state arrival",2111
"group tour add on",2110
"10.30am group tour",2023
"appointee event",1943
"visitors office",1882
"1030am - group tours",1848
"time changed per requestor",1841
"police week tour",1840
"congressional picnic",1791
"11.30am group tours",1761
"group tour - add on",1736
"west wing",1723
"11am group tour",1713
"9.30am group tour",1706
"briefing",1637
"reclear",1516
"grp tours",1509
"group tours.",1462
"health reform meeting",1442
"military honor guards",1437
"group tour name",1380
"group tourdate change from 9/12 to 9/13",1364
"12pm group tours",1358
"9am - group tour",1335
"marine one ceremony",1328
"agency cos meeting",1304
"4th of july",1284
"military 4",1266
"10:30am group tours",1253
"holiday ball attendees",1250
"9:30am group tours",1236
"930am group tour",1214
"congressional ball - agency leg affairs, congressional staff",1155
"open houses**",1143
"hanukkah reception",1141
"add on",1133
"group tour-changed from ethan to tess per ethan",1111
"agency legislative affairs meeting",1075
"staff trickortreat",1066
"1pm group tour",1063
"1030am group tours",1056
"white house liaisons meeting",1036
"ew tour must enter through sherman park clear",1031
"eer volunteers",1023
"eeob halloween names",1011
"730am - group tours",993
"group tours 7:30-9:55",976
"11am - group tours",955
"dob reclear",923
"12.30pm group tour",913
"930am - group tour",907
"white house summer interns/access to eeob/neob/g st",905
"eeob/neob trickortreat",899
"china state arrival",898
"who eop recep 2",894
"open house tours",893
"ncaa event",891
"inaugural reception",889
"gates open 6:00pm event goes to 9:00pm",878
"staff group tour",876
"wounded warrior bike ride",869
"group tours add on",868
"830am - group tours",867
"9am group tour**",864
"10am staff tours",858
"930am group tours",840
"at gate group tours",826
"9am group tour",815
"ew tour must enter through sherman park new clear",814
"10.30am group tours",810
"staff tours",799
"who/eop reception 2 guests",798
"guest list",787
"7:30am group tours",780
"first submission for holiday party will be a large list and will merge all appointments to this one",778
"ew tour must enter through sherman park 6/20 public tours",773
"12pm - open house",773
"guests will begin arriving at 1:30 pm",772
"training",769
"reception",762
"eop",760
"guest list for event",758
"730am group tour",753
"11.30am group tour",753
"black history month reception",749
"12pm group tour",733
"chefs event south lawn",729
"volunteers",726
"8am member tours",725
"white house liaison meeting",723
"departure photo",722
"general holiday reception 3",715
"who/eop holiday reception guests",702
"who eop 1 reception",700
"bill signing",700
"first submission of several for eop reception 1 last minute change per requestor potus now attending",698
"930am - group tours",693
"guests for holiday reception",687
"these are attendees for the potus/ flotus event with olympians on the south lawn",683
"group tour reclear dob",683
"marine one departure",682
"nss official. sgt lillis",678
"staff tour",677
"attendees will begin arriving at 2:00 pm (at the earliest)",673
"east room",667
"holiday reception**ope reception**",661
"biden beach boardwalk bash",661
"appointment",659
"press, all day access",658
"military band members for the state arrival ceremony",652
"""biden beach boardwalk"" press event",651
"air force band for state arrival",644
"americans with disabilities event",642
"will merge large list of waves to this appointment",639
"wounded warriors bike ride guests",636
"press holiday reception",635
"group tourmoved from ethan to tess per ethan",635
"military honor guard members for the state arrival ceremony",630
"hispanic heritage month reception",627
"7.30am group tour",621
"energy/climate change summit",611
"marine honor guard",609
"consists of three spreadsheets",608
"tours open house",604
"st patrick's day reception",603
"air force honor guard",602
"residence staff holiday reception",599
"talent - holiday open house",598
"tours-",597
"this is the resubmitted list for 7:45 am arrivals",596
"general reception 1",595
"830am group tour",595
"west wing tour. please clear this group for 11 am 1 pm 3 pm 5pm and 7pm on 1/20. thank you.//this is duplicate appt//gk",592
"press reception one (1)",586
"health care meeting",582
"honor guard",579
"11am - group tour",573
"1130am - group tours",573
"ew tour must enter through sherman park clears",565
"group tour kitchen garden",564
"guests for the halloween reception on 10",560
"interagency meeting",558
"comments",558
"military district of washington support team bands honor guard etc etc",557
"st patrick's reception",555
"tours members of congress",550
"8.30am group tours",550
"e&e sub ipc",549
"group tourchanged from 11/9 @ 1230 hrs to 11/10 @ 0700 hrs",547
"guests will begin showing up at 3:00 pm",544
"the rain site is the east room",542
"press holiday party #1",542
"mdw roster for state arrival ceremony. military troops",542
"gen recep 5",540
"general reception 3",539
"state floor",535
"embassy part 1",535
"ne gate entry. this are members of congress and their guests",533
"ew tour ã¢â‚¬â€œ must enter through sherman park",533
"military personnel for the china state arrival",529
"please reclear",528
"interagency policy meeting",526
"federal judges association reception",526
"requestor called to change time for appt on 10/10 @ group tour 1517",525
"the event is on the south lawn rain or shine",520
"military personnel for the arrival ceremony for india",520
"volunteer reception",518
"8:30am group tours",510
"guest list for ceremony",509
"member group tour",505
"military roster for a state arrival rehearsal on the south lawn",503
"agency cos lunch",501
"eop 1",500
"gen recep 6",498
"military district of washington support for the nordic state arrival ceremony",496
"member tours",494
"holiday reception guests",494
"policy briefing with senior staff",492
"guest list for a medal of honor ceremony",492
"guest list for the event",484
"medal of honor ceremony",482
"group tours - add ons",481
"1230pm - group tours",473
"group tour changed from ethan to tess per ethan",471
"tour coordinator summit",467
"time change per lierman",467
"spring 2015 summer interns",465
"ew tour must enter through sherman park clr",461
"tours./tours",458
"ford's theatre reception",455
"group tour / time changed per requestor",454
"ifyc student briefing",451
"newtown 1 group tour with potential potus drop by",445
"outreach meeting",440
"reclears",439
"gen recep 4",437
"kennedy center honors reception guests",436
"members of the white house military office having their departure photo with the president",434
"group tours 10:00-11:00",434
"ses conference",429
"police week group tours",428
"kennedy center honors reception",425
"additional contact dilara uskuo",423
"no need to arp//barto//merge to u72807",421
"time change made at the request of v. mccullough",419
"white house holiday briefing",416
"location change per requestor",415
"830am group tours",414
"12pm -group tour",414
"sports team visit",409
"eeob trick or treating event- list #1",408
"diplomatic corps reception",404
"music of the civil rights concert",401
"9am group tours./10am group tours",401
"all-day press appts",399
"usss",398
