"RELEASE_DATE","Count"
"2011-03-25 07:00:00",124897
"2010-03-26 07:00:00",118263
"2013-03-29 07:00:00",109991
"2012-07-27 07:00:00",109153
"2012-03-30 07:00:00",108644
"2010-09-24 07:00:00",104277
"2016-09-30 12:00:00",101769
"2016-03-31 07:00:00",101669
"2012-09-28 07:00:00",100645
"2011-10-28 07:00:00",97813
"2011-09-30 07:00:00",96058
"2014-03-28 07:00:00",95332
"2015-03-27 07:00:00",94483
"2010-06-25 07:00:00",93417
"2016-10-28 12:00:00",92461
"2010-10-29 07:00:00",92423
"2016-06-24 07:00:00",90847
"2012-10-26 07:00:00",89965
"2016-08-26 12:00:00",88950
"2011-08-26 07:00:00",88945
"2011-06-24 07:00:00",88784
"2010-08-27 07:00:00",88782
"2014-10-31 07:00:00",86847
"2012-01-27 08:00:00",85507
"2011-01-28 08:00:00",85198
"2016-07-29 07:00:00",85005
"2015-08-28 07:00:00",82905
"2010-07-30 07:00:00",82783
"2012-08-31 07:00:00",82756
"2012-11-30 08:00:00",82608
"2015-09-25 07:00:00",82504
"2011-07-29 07:00:00",82407
"2016-01-29 08:00:00",82256
"2010-11-26 08:00:00",82120
"2015-10-30 07:00:00",81239
"2014-08-29 07:00:00",80985
"2011-11-22 08:00:00",80009
"2016-12-30 12:00:00",79855
"2015-01-30 08:00:00",79223
"2015-06-26 07:00:00",77924
"2015-07-31 07:00:00",77143
"2010-01-29 08:00:00",75312
"2014-06-27 07:00:00",74498
"2014-09-26 07:00:00",74229
"2016-11-28 12:00:00",73816
"2011-12-30 08:00:00",72721
"2013-01-25 08:00:00",71740
"2014-07-25 07:00:00",68832
"2015-12-31 08:00:00",67996
"2012-06-29 07:00:00",67179
"2014-12-29 08:00:00",66773
"2012-12-28 08:00:00",64262
"2016-02-26 08:00:00",63041
"2012-02-24 08:00:00",61152
"2014-11-28 10:00:00",59312
"2013-02-23 08:00:00",59031
"2016-05-27 07:00:00",58478
"2010-12-31 08:00:00",57414
"2011-02-25 08:00:00",57285
"2010-05-28 07:00:00",56840
"2013-05-31 07:00:00",55751
"2015-02-27 08:00:00",55490
"2010-02-26 08:00:00",54649
"2015-05-29 07:00:00",53245
"2012-05-25 07:00:00",52270
"2013-06-28 07:00:00",52176
"2011-05-27 07:00:00",51893
"2016-04-29 07:00:00",50794
"2014-05-30 07:00:00",50425
"2013-04-26 07:00:00",49397
"2010-04-30 07:00:00",45220
"2015-04-24 07:00:00",43855
"2012-04-27 07:00:00",41771
"2014-04-25 07:00:00",39132
"2011-04-29 07:00:00",38607
"2014-02-28 08:00:00",38456
"2015-11-30 08:00:00",37612
"2009-12-30 08:00:00",27206
"2013-07-26 07:00:00",26711
"2013-11-08 08:00:00",25805
"2013-09-27 07:00:00",21904
"2013-08-30 07:00:00",19787
"2013-12-27 08:00:00",19024
"2014-01-31 08:00:00",15509
"2013-11-29 08:00:00",15479
"2014-11-28 11:00:00",9257
"2009-11-25 08:00:00",1613
"2009-10-30 07:00:00",479
